candidate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,fold_std,tail3_worst,pseudo_public_logloss,test_abs_delta_mean_vs_anchor,test_up_rate_vs_anchor,test_down_rate_vs_anchor,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,pseudo_Q1,delta_mean_Q1,delta_abs_Q1,up_rate_Q1,pseudo_Q2,delta_mean_Q2,delta_abs_Q2,up_rate_Q2,pseudo_Q3,delta_mean_Q3,delta_abs_Q3,up_rate_Q3,pseudo_S1,delta_mean_S1,delta_abs_S1,up_rate_S1,pseudo_S2,delta_mean_S2,delta_abs_S2,up_rate_S2,pseudo_S3,delta_mean_S3,delta_abs_S3,up_rate_S3,pseudo_S4,delta_mean_S4,delta_abs_S4,up_rate_S4,corr_to_last_guard_0p008_last0.588383_full0.587743,mean_abs_diff_to_last_guard_0p008_last0.588383_full0.587743,corr_to_target_select_public_tight_last0.572477_full0.592635,mean_abs_diff_to_target_select_public_tight_last0.572477_full0.592635,corr_to_public_aware_stack_blend_20260622_target_select_public_balanced__balanced_Q2_only_5_last0.570607_full0.592648,mean_abs_diff_to_public_aware_stack_blend_20260622_target_select_public_balanced__balanced_Q2_only_5_last0.570607_full0.592648,corr_to_02_guarded_targetwise,mean_abs_diff_to_02_guarded_targetwise,selector_score
anchor_logit_direction_gated_ablation_20260622__core_plus_q2tiny_w0p45,0.5944160235240912,0.5887030233111721,-0.001413727569283818,-0.004579183487162353,0.013674858147159496,0.6209238776860928,0.5888242100507497,0.0015661612329557297,0.010285714285714285,0.02,0.5918656356604436,0.5812525036046043,0.6209238776860928,0.5899443862885064,0.5887030233111721,0.597926261712091,-0.0042152989594317425,0.004215298959431762,0.0,0.650637293626204,0.00025303356095409925,0.00025303356095411476,0.008,0.6385580160551905,2.886579864025407e-18,1.48769885299771e-17,0.0,0.48080803568949,1.0103029524088924e-17,2.942091015256665e-17,0.0,0.5591704855263266,-0.004464405702589691,0.004464405702589722,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.638994800806489,0.002030390407714413,0.002030390407714433,0.064,0.9849285885206368,0.01945636419250291,0.9895864701937419,0.005311791234558132,0.9889604932211729,0.006644180841275755,0.985970385043279,0.013334354812530933,0.5895549377950963
pair_logit_pattern_safe_candidates_20260622__s2down_s4up_noq1__pattern_safe_candidates_20260622__q1_s2down50_s4up50_w0p5,0.5939052834878199,0.5868566757032595,-0.0019244676055550913,-0.006425531095074932,0.014499222352394129,0.6221258758043399,0.5886990291593518,0.004374842024134786,0.11028571428571429,0.152,0.5910062282269112,0.5805692800797094,0.6221258758043399,0.5895613944521964,0.5868566757032595,0.5976967474937424,0.0009740495881623037,0.008977330148848566,0.5,0.6506293014214858,4.440892098500626e-19,1.5543122344752193e-17,0.0,0.6385580160551905,-2.4424906541753442e-18,1.3988810110276973e-17,0.0,0.48080803568949,1.1102230246251566e-19,2.7644553313166398e-17,0.0,0.5584164040520295,-0.01560518535527478,0.015605185355274795,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.639110122464068,0.006041378664820039,0.006041378664820053,0.272,0.9884113508580108,0.016227509139836924,0.9930900806563282,0.005794900011765137,0.9925711427824584,0.007057136167456416,0.9813692578319773,0.015192814270817276,0.5895552355376955
pair_logit_pattern_safe_candidates_20260622__q1_s2down_only__direction_gated_ablation_20260622__core_plus_q3_w0p5,0.593805889565181,0.58411772158425,-0.0020238615281940042,-0.009164485214084417,0.014445920350999791,0.62183717924038,0.5886993653695429,0.00445449938862591,0.08228571428571428,0.152,0.5911160688148248,0.5816905055198935,0.62183717924038,0.590671534690089,0.58411772158425,0.5984189801868306,-0.003708916837260009,0.01366029657427088,0.5,0.6506293014214858,4.440892098500626e-19,1.5543122344752193e-17,0.0,0.6385506436818579,0.0005218328404661616,0.0005218328404661781,0.012,0.48080803568949,1.1102230246251566e-19,2.7644553313166398e-17,0.0,0.5578046697411813,-0.014753954398432316,0.01475395439843233,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6390093499264985,0.002245411907211886,0.002245411907211904,0.064,0.987649736650373,0.01733072557006232,0.9950867718388298,0.0050089630163204345,0.9946023496730965,0.006271199172011713,0.9784141339655454,0.015480736301834127,0.5895552963687517
pair_logit_pattern_safe_candidates_20260622__s2down_s4up_noq1__pattern_safe_candidates_20260622__q1_s2down50_s4up50_w0p75,0.5938467815608208,0.5866080363791892,-0.0019829695325541685,-0.006674170419145198,0.014575584786552851,0.6222137684014476,0.5886996303862683,0.004234663717885586,0.11028571428571429,0.152,0.5912786932420426,0.580561740922132,0.6222137684014476,0.5891424473505811,0.5866080363791892,0.597594190329269,0.0004952822785233109,0.004504673485562065,0.5,0.6506293014214858,4.440892098500626e-19,1.5543122344752193e-17,0.0,0.6385580160551905,-2.4424906541753442e-18,1.3988810110276973e-17,0.0,0.48080803568949,1.1102230246251566e-19,2.7644553313166398e-17,0.0,0.55840537976125,-0.01810212414532998,0.018102124145329995,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6392279125077357,0.007035848394306935,0.007035848394306951,0.272,0.9883190557566376,0.016367687446086125,0.9938093491365273,0.005489002484944976,0.9932994240886969,0.006751238640636255,0.9794565060307782,0.014945738117636961,0.5895554495371326
pair_logit_direction_gated_ablation_20260622__core_plus_q2tiny__pattern_safe_candidates_20260622__q1_s2down50_s4up50_w0p5,0.5937009345771914,0.5856916932955902,-0.0021288165161835737,-0.0075905135027442006,0.01395812790310739,0.6207352536892292,0.5887379262318861,0.003997142698804592,0.11142857142857143,0.152,0.5909170607069416,0.5809588985445353,0.6207352536892292,0.5906872941785338,0.5856916932955902,0.5984189801868306,-0.003708916837260009,0.01366029657427088,0.5,0.6506403097173129,0.00028077347340875345,0.00028077347340876857,0.008,0.6385580160551905,-2.4424906541753442e-18,1.3988810110276973e-17,0.0,0.48080803568949,1.1102230246251566e-19,2.7644553313166398e-17,0.0,0.5579718267314309,-0.009858344113169085,0.009858344113169099,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.639093738303492,0.004180584730783309,0.004180584730783323,0.272,0.9873679014708028,0.017637301143893693,0.9933635722086074,0.004988315420670155,0.9927718194269612,0.006328630716660537,0.9816694605483955,0.015358058799806402,0.5895557469080056
pair_logit_pattern_safe_candidates_20260622__s2down_only_noq1__pattern_safe_candidates_20260622__q1_s2down50_s4up50_w0p35,0.5943052049614895,0.5875958964927174,-0.0015245461318854625,-0.005686310305617059,0.014325267141572904,0.6222349258524861,0.5887182154545617,0.004044961765203452,0.11028571428571429,0.152,0.5912635569176992,0.5811910757484016,0.6222349258524861,0.5898526566536767,0.5875958964927174,0.5978355659679928,0.0012530597211923937,0.011644854579239227,0.5,0.6506293014214858,1.1102230246251566e-18,1.576516694967722e-17,0.0,0.6385580160551905,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.48080803568949,-3.219646771412954e-18,2.786659791809143e-17,0.0,0.558572964648593,-0.014043430451454234,0.014043430451454252,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6389490474597234,0.0026264473257305776,0.0026264473257305923,0.272,0.987893848863708,0.016557389398768257,0.9920721395731946,0.006380572852032001,0.9915485137689136,0.007642809007723281,0.9827953907428508,0.014960164737377263,0.5895558276645965
pair_logit_pattern_safe_candidates_20260622__s2down_only_noq1__pattern_safe_candidates_20260622__s2down_s4up_noq1_w0p35,0.5941030942624093,0.5869711123385051,-0.0017266568309657337,-0.006311094459829358,0.014526893983503463,0.6224225092018119,0.588719466200245,0.003682313344246871,0.038857142857142854,0.08057142857142857,0.5918134737946391,0.5811246376622421,0.6224225092018119,0.5887477474922757,0.5869711123385051,0.5976545717384166,1.5543122344752192e-18,1.84297022087776e-17,0.0,0.6506293014214858,1.1102230246251566e-18,1.576516694967722e-17,0.0,0.6385580160551905,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.48080803568949,-3.219646771412954e-18,2.786659791809143e-17,0.0,0.5586656301193595,-0.020468935042142953,0.02046893504214297,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6390461314383162,0.005307258367585005,0.00530725836758502,0.272,0.9876937528556223,0.016920037819724842,0.9939394123702769,0.005457476422099453,0.993438415025029,0.006719712577790732,0.9779853061181705,0.014303259984487568,0.5895562802997476
pair_logit_direction_gated_ablation_20260622__core_plus_q2__pattern_safe_candidates_20260622__q1_s2down_only_w0p35,0.593794585389469,0.584932190064831,-0.002035165703905939,-0.00835001673350344,0.01414393595621316,0.6211210063308058,0.5887038431008648,0.004844427465547194,0.09028571428571429,0.152,0.5914262237707149,0.5811325341318122,0.6211210063308058,0.5907816137189741,0.584932190064831,0.5982959162468162,-0.002023069763259797,0.014920984063691417,0.5,0.6506228974889074,0.0009437458113585231,0.0009437458113585368,0.068,0.6385580160551905,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.48080803568949,-3.219646771412954e-18,2.786659791809143e-17,0.0,0.557988922181704,-0.016452308145576584,0.016452308145576595,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6389785371044892,0.0015939542382037099,0.0015939542382037296,0.064,0.9880201816084843,0.01659570791787168,0.9948965568438037,0.005483977258068763,0.994309745289467,0.0068760729940182405,0.9782481706309867,0.01581781085753368,0.5895563727226418
pair_logit_pattern_safe_candidates_20260622__s2down_s4up_noq1__direction_gated_ablation_20260622__core_plus_q2_w0p85,0.5936176107737737,0.5858564842958411,-0.0022121403196012634,-0.007425722502493293,0.0145085587265978,0.6217290545325179,0.5887109593225708,0.0040011046347477215,0.04857142857142857,0.09314285714285714,0.5915999657933394,0.5802845898687999,0.6217290545325179,0.5891216753380443,0.5858564842958411,0.5976412764427488,-0.0014002575043243106,0.0014002575043243275,0.0,0.6506194351210277,0.0004054057047656734,0.0004054057047656876,0.068,0.6385580160551905,-2.4424906541753442e-18,1.3100631690576846e-17,0.0,0.48080803568949,9.992007221626408e-19,2.7644553313166398e-17,0.0,0.558333049754096,-0.01873864079278882,0.018738640792788832,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6393423252559863,0.007463428441355118,0.007463428441355132,0.272,0.9879729958469896,0.016682593819664814,0.9946362493321552,0.004902144111085436,0.9940910881115406,0.0062142574295890795,0.9779460143875532,0.014722624485246541,0.5895564203979431
pair_logit_pattern_safe_candidates_20260622__s2down_s4up_noq1__direction_gated_ablation_20260622__core_plus_q2q3_w0p35,0.5935222361832001,0.5830162290206488,-0.0023075149101748904,-0.010265977777685675,0.014334813833927356,0.6208629125016013,0.5887234342665402,0.003882833914921769,0.05028571428571429,0.09314285714285714,0.5921873272876796,0.5808185641354768,0.6208629125016013,0.5909934624932526,0.5830162290206488,0.5983477598520263,-0.006094838943570245,0.006094838943570262,0.0,0.650663482371765,0.001745921281815899,0.001745921281815913,0.068,0.6385709861217042,0.000667758998495341,0.0006677589984953583,0.012,0.48080803568949,-3.219646771412954e-18,2.786659791809143e-17,0.0,0.5576831626563726,-0.013070273754816633,0.013070273754816647,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6393160362349672,0.005601044425754125,0.0056010444257541415,0.272,0.987051397503632,0.018360547728486033,0.995466555330987,0.003762421548964896,0.9947813944711912,0.005284037240663753,0.9782107454783845,0.015000737838666534,0.5895566599756842
pair_logit_direction_gated_ablation_20260622__core_plus_q2__pattern_safe_candidates_20260622__q1_s2down50_s4up50_w0p5,0.5936353239001966,0.5853277220577383,-0.0021944271931784165,-0.007954484740596124,0.013892443206269726,0.6203323236309073,0.5887375819944484,0.00414927261645286,0.12,0.152,0.5912119314046208,0.5805391362744495,0.6203323236309073,0.5912043957829337,0.5853277220577383,0.5984189801868306,-0.003708916837260009,0.01366029657427088,0.5,0.6506379000552475,0.0013456828969466291,0.0013456828969466432,0.068,0.6385580160551905,-2.4424906541753442e-18,1.3988810110276973e-17,0.0,0.48080803568949,1.1102230246251566e-19,2.7644553313166398e-17,0.0,0.5579718267314309,-0.009858344113169085,0.009858344113169099,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.639093738303492,0.004180584730783309,0.004180584730783323,0.272,0.9873865508312526,0.017666028121194638,0.9935069700647837,0.004836185503021887,0.9928455641631466,0.006292470730524957,0.9816089847747987,0.01551018871745467,0.5895566823332554
pair_logit_pattern_safe_candidates_20260622__s2down_s4up_noq1__direction_gated_ablation_20260622__core_plus_q2tiny_w0p25,0.5934581110990714,0.5845298323217694,-0.002371639994303565,-0.008752374476565072,0.013899878926167864,0.6202594475138936,0.5887563187691931,0.003518877326206826,0.04,0.09314285714285714,0.5914516241524801,0.5810184144039855,0.6202594475138936,0.5904143171512176,0.5845298323217694,0.5986279547022305,-0.007033225710828844,0.0070332257108288625,0.0,0.6506616722229155,0.00041812798817196886,0.0004181279881719839,0.008,0.6385580160551905,-2.4424906541753442e-18,1.3988810110276973e-17,0.0,0.48080803568949,1.1102230246251566e-19,2.7644553313166398e-17,0.0,0.5576367772767289,-0.011956206511455746,0.011956206511455762,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6393271984983401,0.005224581072991086,0.0052245810729911,0.272,0.9867220735984097,0.018584420085209056,0.9950002206864068,0.003967328758578916,0.9943908771184325,0.005346888201644502,0.9781571293054534,0.014861499176677366,0.5895568790352876
pair_logit_direction_gated_ablation_20260622__core_plus_q2tiny__pattern_safe_candidates_20260622__q1_s2down_only_w0p35,0.5938447511177323,0.5851888291861258,-0.0019849999756427206,-0.00809337761220863,0.014191689304594413,0.6214047104062014,0.5887052190923306,0.004737793438227312,0.08171428571428571,0.152,0.5912244875585381,0.5814342205886694,0.6214047104062014,0.590424534228385,0.5851888291861258,0.5982959162468162,-0.002023069763259797,0.014920984063691417,0.5,0.650632529429168,0.00019730762011934755,0.0001973076201193622,0.008,0.6385580160551905,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.48080803568949,-3.219646771412954e-18,2.786659791809143e-17,0.0,0.557988922181704,-0.016452308145576584,0.016452308145576595,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6389785371044892,0.0015939542382037099,0.0015939542382037296,0.064,0.9880028805703478,0.016597714728543343,0.9947919277422858,0.005590611285388645,0.9942537635468394,0.006907079194724911,0.9782868186123873,0.0157111768302138,0.5895569373607072
pair_logit_pattern_safe_candidates_20260622__s2down_s4up_noq1__direction_gated_ablation_20260622__core_plus_q2tiny_w0p85,0.5936415503649097,0.5859675336965102,-0.0021882007284652616,-0.0073146731018242095,0.014531492149160961,0.6218515918477091,0.5887121985129634,0.0039553259736111596,0.04,0.09314285714285714,0.5915161915951958,0.5804184304784108,0.6218515918477091,0.5889714488167982,0.5859675336965102,0.5976412764427488,-0.0014002575043243106,0.0014002575043243275,0.0,0.6506281094537758,8.49550768097378e-05,8.49550768097529e-05,0.008,0.6385580160551905,-2.4424906541753442e-18,1.3100631690576846e-17,0.0,0.48080803568949,9.992007221626408e-19,2.7644553313166398e-17,0.0,0.558333049754096,-0.01873864079278882,0.018738640792788832,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6393423252559863,0.007463428441355118,0.007463428441355132,0.272,0.9879597394894128,0.016696748675957714,0.9945853891843508,0.004947922772221999,0.9940611580731247,0.006232289954898376,0.9779568756298307,0.014676845824109979,0.5895574328996298
pair_logit_direction_gated_ablation_20260622__core_plus_q2tiny__pattern_safe_candidates_20260622__q1_s2down50_s4up50_w0p65,0.5936419387308625,0.5851879217630153,-0.002187812362512531,-0.008094285035319171,0.013843844319043635,0.6204063960971808,0.5887509868645614,0.003808835001173131,0.11142857142857143,0.152,0.5910738369985667,0.581153224329434,0.6204063960971808,0.5908261350949188,0.5851879217630153,0.5986387542919641,-0.005401282860258674,0.012387776362898513,0.5,0.6506518768771727,0.00036346636151716425,0.00036346636151717894,0.008,0.6385580160551905,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.48080803568949,-3.219646771412954e-18,2.786659791809143e-17,0.0,0.557762912131245,-0.009692906422275773,0.009692906422275787,0.0,0.5556745769394565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6391627360674104,0.004217695861520346,0.004217695861520361,0.272,0.9869967354770982,0.0181743936373371,0.9939084594627515,0.004621895685779746,0.9933012899447665,0.005985837521229673,0.9805105408792346,0.015269596904785045,0.5895574441305488
