split,target,fold,subject_id,balance_rate,history_rows,future_rows,history_pos_rate,target_future_mean,before_mean,after_mean,candidate
oof,Q3,1,id07,0.3,39,10,0.5384615384615384,0.02,0.5698633570286121,0.019999999999999987,allq_rate_0p3
oof,Q3,1,id08,0.3,45,11,0.35555555555555557,0.0727272727272728,0.5648593425558492,0.07272727272727277,allq_rate_0p3
oof,Q3,1,id09,0.3,33,8,0.42424242424242425,0.02,0.4362304277489906,0.020000000000000007,allq_rate_0p3
oof,Q3,1,id10,0.3,26,7,0.6538461538461539,0.02,0.7059552412618074,0.019999999999999993,allq_rate_0p3
oof,Q3,2,id01,0.3,33,8,0.6060606060606061,0.02,0.5876916239518338,0.020000000000000004,allq_rate_0p3
oof,Q3,2,id02,0.3,39,9,0.6923076923076923,0.02,0.5846436192020201,0.019999999999999997,allq_rate_0p3
oof,Q3,2,id03,0.3,27,6,0.7037037037037037,0.02,0.7299493194094042,0.01999999999999998,allq_rate_0p3
oof,Q3,2,id04,0.3,45,12,0.8,0.02,0.7300650733064565,0.02000000000000001,allq_rate_0p3
oof,Q3,2,id05,0.3,35,9,0.7142857142857143,0.02,0.7219093702130115,0.020000000000000004,allq_rate_0p3
oof,Q3,2,id06,0.3,39,9,0.41025641025641024,0.02,0.42969778359822164,0.020000000000000004,allq_rate_0p3
oof,Q3,2,id07,0.3,39,10,0.48717948717948717,0.02,0.42769423175892907,0.02000000000000001,allq_rate_0p3
oof,Q3,2,id08,0.3,45,11,0.4666666666666667,0.02,0.6725302516829154,0.01999999999999999,allq_rate_0p3
oof,Q3,2,id09,0.3,33,8,0.5151515151515151,0.02,0.4196342753610284,0.020000000000000004,allq_rate_0p3
oof,Q3,2,id10,0.3,27,6,0.6296296296296297,0.02,0.44287949997937776,0.02,allq_rate_0p3
oof,Q3,3,id01,0.3,33,8,0.5757575757575758,0.02,0.7144653979146527,0.019999999999999987,allq_rate_0p3
oof,Q3,3,id02,0.3,38,10,0.7105263157894737,0.02,0.7295070187217506,0.01999999999999999,allq_rate_0p3
oof,Q3,3,id03,0.3,26,7,0.7307692307692307,0.02,0.5914815785718689,0.02000000000000001,allq_rate_0p3
oof,Q3,3,id04,0.3,46,11,0.7391304347826086,0.02,0.7295271100141923,0.020000000000000014,allq_rate_0p3
oof,Q3,3,id05,0.3,35,9,0.6571428571428571,0.02,0.5964756096633295,0.020000000000000018,allq_rate_0p3
oof,Q3,3,id06,0.3,38,10,0.4473684210526316,0.02,0.7148889702006269,0.02000000000000001,allq_rate_0p3
oof,Q3,3,id07,0.3,39,10,0.5128205128205128,0.02,0.5703219660981793,0.019999999999999987,allq_rate_0p3
oof,Q3,3,id08,0.3,45,11,0.5111111111111111,0.02,0.5588403651820513,0.019999999999999997,allq_rate_0p3
oof,Q3,3,id09,0.3,33,8,0.48484848484848486,0.02,0.42283838496081805,0.020000000000000004,allq_rate_0p3
oof,Q3,3,id10,0.3,26,7,0.6153846153846154,0.02,0.5682992150004561,0.019999999999999993,allq_rate_0p3
oof,Q3,4,id01,0.3,33,8,0.5757575757575758,0.02,0.5690918626824721,0.019999999999999997,allq_rate_0p3
oof,Q3,4,id02,0.3,39,9,0.7435897435897436,0.02,0.7069850182529611,0.019999999999999993,allq_rate_0p3
oof,Q3,4,id03,0.3,27,6,0.7407407407407407,0.02,0.5720706166428201,0.019999999999999993,allq_rate_0p3
oof,Q3,4,id04,0.3,46,11,0.7608695652173914,0.02,0.7108400288878092,0.020000000000000004,allq_rate_0p3
oof,Q3,4,id05,0.3,36,8,0.6944444444444444,0.02,0.5677576076310464,0.02000000000000001,allq_rate_0p3
oof,Q3,4,id06,0.3,39,9,0.41025641025641024,0.02,0.6948240777469542,0.019999999999999997,allq_rate_0p3
oof,Q3,4,id07,0.3,40,9,0.5,0.02,0.6941588347730723,0.019999999999999983,allq_rate_0p3
oof,Q3,4,id08,0.3,45,11,0.4444444444444444,0.02,0.5497525477720463,0.019999999999999993,allq_rate_0p3
oof,Q3,4,id09,0.3,33,8,0.3333333333333333,0.16249999999999987,0.5598876628937961,0.16249999999999984,allq_rate_0p3
oof,Q3,4,id10,0.3,27,6,0.7407407407407407,0.02,0.5679314624242582,0.01999999999999999,allq_rate_0p3
test,Q3,-1,id01,0.3,41,27,0.5853658536585366,0.02,0.639840439545852,0.019999999999999997,allq_rate_0p3
test,Q3,-1,id02,0.3,48,32,0.7291666666666666,0.02,0.6474858424850659,0.02,allq_rate_0p3
test,Q3,-1,id03,0.3,33,21,0.7272727272727273,0.02,0.7188787288501627,0.019999999999999987,allq_rate_0p3
test,Q3,-1,id04,0.3,57,27,0.7719298245614035,0.02,0.656701164267993,0.02,allq_rate_0p3
test,Q3,-1,id05,0.3,44,21,0.6818181818181818,0.02,0.6720995100998898,0.019999999999999983,allq_rate_0p3
test,Q3,-1,id06,0.3,48,24,0.5,0.02,0.7075179070229897,0.020000000000000014,allq_rate_0p3
test,Q3,-1,id07,0.3,49,30,0.5102040816326531,0.02,0.568978450035546,0.020000000000000014,allq_rate_0p3
test,Q3,-1,id08,0.3,56,19,0.44642857142857145,0.02,0.4899802533655507,0.02,allq_rate_0p3
test,Q3,-1,id09,0.3,41,27,0.43902439024390244,0.08888888888888884,0.6327151811524112,0.08888888888888882,allq_rate_0p3
test,Q3,-1,id10,0.3,33,22,0.6363636363636364,0.02,0.5104496696852849,0.02,allq_rate_0p3
oof,Q1,0,id01,0.305,32,9,0.5,0.02,0.38812273618277726,0.019999999999999997,allq_rate_0p305
oof,Q1,0,id02,0.305,38,10,0.5789473684210527,0.02,0.4647918364292587,0.02000000000000001,allq_rate_0p305
oof,Q1,0,id03,0.305,26,7,0.8846153846153846,0.02,0.8131467496638531,0.020000000000000014,allq_rate_0p305
oof,Q1,0,id04,0.305,45,12,0.4888888888888889,0.02,0.6110989039050624,0.020000000000000014,allq_rate_0p305
oof,Q1,0,id05,0.305,35,9,0.6857142857142857,0.02,0.7594300556964532,0.019999999999999993,allq_rate_0p305
oof,Q1,0,id06,0.305,38,10,0.18421052631578946,0.764,0.30856119325719356,0.764,allq_rate_0p305
oof,Q1,0,id07,0.305,39,10,0.48717948717948717,0.02,0.4231188600317646,0.019999999999999987,allq_rate_0p305
oof,Q1,0,id08,0.305,44,12,0.4318181818181818,0.02,0.3669871002688796,0.01999999999999999,allq_rate_0p305
oof,Q1,0,id09,0.305,32,9,0.53125,0.02,0.38896768738382836,0.020000000000000004,allq_rate_0p305
oof,Q1,0,id10,0.305,26,7,0.4230769230769231,0.02,0.5007194466009841,0.01999999999999999,allq_rate_0p305
oof,Q1,1,id01,0.305,33,8,0.3939393939393939,0.02,0.5384931070855642,0.020000000000000007,allq_rate_0p305
oof,Q1,1,id02,0.305,38,10,0.5526315789473685,0.02,0.5967320905580747,0.020000000000000007,allq_rate_0p305
oof,Q1,1,id03,0.305,26,7,0.8846153846153846,0.02,0.6039361347811463,0.020000000000000014,allq_rate_0p305
oof,Q1,1,id04,0.305,46,11,0.6086956521739131,0.02,0.5664943570866403,0.019999999999999993,allq_rate_0p305
oof,Q1,1,id05,0.305,35,9,0.6,0.02,0.602721395882925,0.019999999999999997,allq_rate_0p305
oof,Q1,1,id06,0.305,38,10,0.15789473684210525,0.8640000000000001,0.3421052596537636,0.8640000000000001,allq_rate_0p305
oof,Q1,1,id07,0.305,39,10,0.48717948717948717,0.02,0.5429138311229478,0.020000000000000004,allq_rate_0p305
oof,Q1,1,id08,0.305,45,11,0.35555555555555557,0.09818181818181802,0.43568284548160396,0.09818181818181801,allq_rate_0p305
oof,Q1,1,id09,0.305,33,8,0.5151515151515151,0.02,0.4111619722418398,0.019999999999999987,allq_rate_0p305
oof,Q1,1,id10,0.305,26,7,0.46153846153846156,0.02,0.3765408662626736,0.02,allq_rate_0p305
oof,Q1,2,id01,0.305,33,8,0.45454545454545453,0.02,0.27312887322634244,0.019999999999999993,allq_rate_0p305
oof,Q1,2,id02,0.305,39,9,0.5128205128205128,0.02,0.4846848028679077,0.019999999999999987,allq_rate_0p305
oof,Q1,2,id03,0.305,27,6,0.8148148148148148,0.02,0.8253749605561058,0.02000000000000001,allq_rate_0p305
oof,Q1,2,id04,0.305,45,12,0.6666666666666666,0.02,0.5300147974512049,0.020000000000000007,allq_rate_0p305
oof,Q1,2,id05,0.305,35,9,0.5428571428571428,0.02,0.518591233254995,0.01999999999999998,allq_rate_0p305
oof,Q1,2,id06,0.305,39,9,0.10256410256410256,0.98,0.26146065084102366,0.9799999999999999,allq_rate_0p305
oof,Q1,2,id07,0.305,39,10,0.5128205128205128,0.02,0.6049432834417064,0.020000000000000004,allq_rate_0p305
oof,Q1,2,id08,0.305,45,11,0.4222222222222222,0.02,0.27331028280008346,0.020000000000000007,allq_rate_0p305
oof,Q1,2,id09,0.305,33,8,0.5151515151515151,0.02,0.5135307837168388,0.020000000000000007,allq_rate_0p305
oof,Q1,2,id10,0.305,27,6,0.5555555555555556,0.02,0.5143083995982666,0.019999999999999993,allq_rate_0p305
oof,Q1,3,id01,0.305,33,8,0.5151515151515151,0.02,0.5960919496717141,0.019999999999999997,allq_rate_0p305
oof,Q1,3,id02,0.305,38,10,0.5263157894736842,0.02,0.567250695192935,0.019999999999999997,allq_rate_0p305
