target,rate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
Q3,0.46,1.7799755452304458,1.6624372338605626,1.1172949991022452,1.0277452256198092
Q3,0.45,1.7925924334704222,1.6660832131325145,1.1299118873422214,1.031391204891761
Q3,0.575,1.6489302557172798,1.670860132687371,0.9862497095890791,1.0361681244466177
Q3,0.59,1.614552600283233,1.6723488122884687,0.9518720541550324,1.0376568040477152
Q3,0.445,1.8030801013146938,1.6737616621237708,1.1403995551864932,1.0390696538830173
Q3,0.55,1.6569742278893922,1.6795902646367094,0.9942936817611915,1.044898256395956
Q3,0.555,1.6540429592159633,1.6819053236660515,0.9913624130877626,1.047213315425298
Q3,0.44,1.817095306664728,1.684136677562201,1.1544147605365271,1.0494446693214476
Q3,0.56,1.6629464099831037,1.6854219448360468,1.000265863854903,1.0507299365952933
Q3,0.565,1.6776971066189303,1.6904267383290015,1.0150165604907295,1.055734730088248
Q3,0.435,1.836618166536146,1.6972547826033242,1.1739376204079455,1.0625627743625707
Q3,0.57,1.671285756281763,1.6973977944359089,1.0086052101535623,1.0627057861951554
Q3,0.43,1.8614667860890148,1.7135800369709326,1.198786239960814,1.0788880287301792
Q3,0.425,1.8807979580961975,1.7341447412636137,1.218117411967997,1.0994527330228603
Q3,0.42,1.9007147196204723,1.761207410639673,1.2380341734922715,1.1265154023989195
Q3,0.415,1.929491560857683,1.8009332886485254,1.2668110147294822,1.166241280407772
Q3,0.41,1.9570261263553912,1.8465595809564885,1.2943455802271906,1.211867572715735
Q3,0.405,1.968249306612068,1.857724068982605,1.3055687604838675,1.2230320607418514
Q3,0.4,1.982305294373924,1.870292234757498,1.3196247482457233,1.2356002265167445
Q3,0.395,2.0015163647207097,1.884484761550339,1.3388358185925089,1.2497927533095856
Q3,0.39,2.0212034333118885,1.9006135304408003,1.3585228871836876,1.2659215222000468
Q3,0.385,2.0350663905390456,1.9191332316494618,1.3723858444108448,1.2844412234087084
Q3,0.38,2.0533638709755375,1.9407421983014321,1.3906833248473367,1.3060501900606787
Q3,0.375,2.0705202191240466,1.966603295636975,1.4078396729958458,1.3319112873962216
Q3,0.37,2.0894331375247632,1.998920162186381,1.4267525913965624,1.3642281539456276
Q3,0.365,2.1150137958344275,2.0429475439949445,1.4523332497062267,1.408255535754191
Q3,0.36,2.149888860308779,2.1018596136928687,1.4872083141805783,1.4671676054521152
Q3,0.355,2.169367607716185,2.1251057270518237,1.5066870615879844,1.4904137188110702
Q3,0.35,2.188404964404209,2.153812560589866,1.5257244182760084,1.5191205523491125
Q3,0.345,2.2157360729231836,2.191737718605017,1.5530555267949828,1.5570457103642636
Q3,0.34,2.238070767699072,2.2491444372219234,1.575390221570871,1.61445242898117
Q3,0.335,2.261273496887854,2.30859497160255,1.5985929507596532,1.6739029633617963
Q3,0.33,2.2643918442352517,2.3145625719710403,1.601711298107051,1.6798705637302869
Q3,0.325,2.267877181134896,2.321089210234175,1.605196635006695,1.6863972019934217
Q3,0.32,2.2718179626036394,2.3282739819227745,1.6091374164754386,1.693581973682021
Q3,0.315,2.276341762820206,2.3362467610594155,1.6136612166920052,1.701554752818662
Q3,0.31,2.2816430230059246,2.3451821156657897,1.6189624768777238,1.7104901074250363
Q3,0.305,2.2880418394017163,2.3553221655831984,1.6253612932735155,1.720630157342445
Q3,0.3,2.2961293740183253,2.367016293515608,1.6334488278901245,1.7323242852748544
