candidate,rates,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
allq_rate_0p685,"{""Q1"": 0.685, ""Q2"": 0.685, ""Q3"": 0.685}",1.0411740457722927,0.9036085612053686,0.4453442946789177,0.31032635440703416
allq_rate_0p7,"{""Q1"": 0.7, ""Q2"": 0.7, ""Q3"": 0.7}",1.0431303054556602,0.9056437578814239,0.4473005543622852,0.3123615510830895
allq_rate_0p68,"{""Q1"": 0.68, ""Q2"": 0.68, ""Q3"": 0.68}",1.041175325438378,0.9057207070670322,0.445345574345003,0.3124385002686978
allq_rate_0p675,"{""Q1"": 0.675, ""Q2"": 0.675, ""Q3"": 0.675}",1.0390409655139432,0.9087088209935908,0.4432112144205682,0.3154266141952564
allq_rate_0p67,"{""Q1"": 0.67, ""Q2"": 0.67, ""Q3"": 0.67}",1.0409558385072721,0.9125608647547472,0.44512608741389714,0.31927865795641275
allq_rate_0p665,"{""Q1"": 0.665, ""Q2"": 0.665, ""Q3"": 0.665}",1.0391857196886014,0.9173395885555088,0.4433559685952264,0.32405738175717436
allq_rate_0p66,"{""Q1"": 0.66, ""Q2"": 0.66, ""Q3"": 0.66}",1.0379301414329702,0.9191679953936941,0.44210039033959525,0.32588578859535966
allq_rate_0p65,"{""Q1"": 0.65, ""Q2"": 0.65, ""Q3"": 0.65}",1.033605790021189,0.9204903382130095,0.437776038927814,0.3272081314146751
allq_rate_0p655,"{""Q1"": 0.655, ""Q2"": 0.655, ""Q3"": 0.655}",1.0383110954479349,0.9226703473428628,0.4424813443545599,0.32938814054452836
allq_rate_0p645,"{""Q1"": 0.645, ""Q2"": 0.645, ""Q3"": 0.645}",1.034275526453459,0.9255552808905644,0.4384457753600841,0.33227307409222995
allq_rate_0p64,"{""Q1"": 0.64, ""Q2"": 0.64, ""Q3"": 0.64}",1.0372768120571265,0.9386901900664849,0.4414470609637515,0.3454079832681505
allq_rate_0p635,"{""Q1"": 0.635, ""Q2"": 0.635, ""Q3"": 0.635}",1.0415085670060762,0.9471556183603581,0.4456788159127012,0.3538734115620237
