candidate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,fold_std,tail3_mean,tail3_worst,test_abs_delta_mean_vs_anchor,public_direction_risk,bad_submission_alignment,selector_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,base,actions
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__q2_force_Q2_only_2,0.5929191710990352,0.5708689226340016,-0.002910579994339746,-0.02241328416433286,0.016301993713210772,0.5952509031648784,0.6193783243597026,0.007831774534315872,0.0009275658582583942,0.0001100980010403922,0.576746991213093,0.5963371294272993,0.5817741938883921,0.6193783243597026,0.5955054625009311,0.5708689226340016,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__q2_force_Q2_only_3,0.5929191710990352,0.5708689226340016,-0.002910579994339746,-0.02241328416433286,0.016301993713210772,0.5952509031648784,0.6193783243597026,0.007831774534315872,0.0009275658582583942,0.0001100980010403922,0.576746991213093,0.5963371294272993,0.5817741938883921,0.6193783243597026,0.5955054625009311,0.5708689226340016,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__tight_Q2_only_1,0.5929191710990352,0.5708689226340016,-0.002910579994339746,-0.02241328416433286,0.016301993713210772,0.5952509031648784,0.6193783243597026,0.007831774534315872,0.0009275658582583942,0.0001100980010403922,0.576746991213093,0.5963371294272993,0.5817741938883921,0.6193783243597026,0.5955054625009311,0.5708689226340016,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__logit__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__tight_Q2_only_2,0.5929191710990352,0.5708689226340016,-0.002910579994339746,-0.02241328416433286,0.016301993713210772,0.5952509031648784,0.6193783243597026,0.007831774534315872,0.0009275658582583942,0.0001100980010403922,0.576746991213093,0.5963371294272993,0.5817741938883921,0.6193783243597026,0.5955054625009311,0.5708689226340016,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__tight_Q2_only_3,0.5929191710990352,0.5708689226340016,-0.002910579994339746,-0.02241328416433286,0.016301993713210772,0.5952509031648784,0.6193783243597026,0.007831774534315872,0.0009275658582583942,0.0001100980010403922,0.576746991213093,0.5963371294272993,0.5817741938883921,0.6193783243597026,0.5955054625009311,0.5708689226340016,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__balanced_Q2_only_1,0.5929191710990352,0.5708689226340016,-0.002910579994339746,-0.02241328416433286,0.016301993713210772,0.5952509031648784,0.6193783243597026,0.007831774534315872,0.0009275658582583942,0.0001100980010403922,0.576746991213093,0.5963371294272993,0.5817741938883921,0.6193783243597026,0.5955054625009311,0.5708689226340016,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__logit__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__balanced_Q2_only_2,0.5929191710990352,0.5708689226340016,-0.002910579994339746,-0.02241328416433286,0.016301993713210772,0.5952509031648784,0.6193783243597026,0.007831774534315872,0.0009275658582583942,0.0001100980010403922,0.576746991213093,0.5963371294272993,0.5817741938883921,0.6193783243597026,0.5955054625009311,0.5708689226340016,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__balanced_Q2_only_3,0.5929191710990352,0.5708689226340016,-0.002910579994339746,-0.02241328416433286,0.016301993713210772,0.5952509031648784,0.6193783243597026,0.007831774534315872,0.0009275658582583942,0.0001100980010403922,0.576746991213093,0.5963371294272993,0.5817741938883921,0.6193783243597026,0.5955054625009311,0.5708689226340016,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__q2_force_Q2_only_1,0.5929191710990352,0.5708689226340016,-0.002910579994339746,-0.02241328416433286,0.016301993713210772,0.5952509031648784,0.6193783243597026,0.007831774534315872,0.0009275658582583942,0.0001100980010403922,0.576746991213093,0.5963371294272993,0.5817741938883921,0.6193783243597026,0.5955054625009311,0.5708689226340016,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__logit__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__q2_force_Q2_only_2,0.5929191710990352,0.5708689226340016,-0.002910579994339746,-0.02241328416433286,0.016301993713210772,0.5952509031648784,0.6193783243597026,0.007831774534315872,0.0009275658582583942,0.0001100980010403922,0.576746991213093,0.5963371294272993,0.5817741938883921,0.6193783243597026,0.5955054625009311,0.5708689226340016,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p08__cap0p024__base""]"
