target,source,mode,alpha,full_logloss,last_logloss,full_delta_vs_base,last_delta_vs_base,fold_std,tail3_worst,fp_rate,fn_rate,pred_pos_rate,true_pos_rate,test_pos_rate,base_test_pos_rate,test_pos_delta,test_mean_delta,test_abs_delta_mean,fp_pressure,test_pos_inflation,full_regret,tail_regret,public_tail_score,private_full_score,balanced_score,fp_suppress_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q2,raw_comp,logit,0.75,0.6768270992522902,0.6603616280836688,-0.015838990616397375,0.043411105407847095,0.04182520933259423,0.7256546898086833,0.33111111111111113,0.14222222222222222,0.7511111111111111,0.5622222222222222,0.836,0.84,-0.0040000000000000036,-0.035488240451619926,0.04682900702749111,0.18888888888888888,0.0,0.0,0.0,1.2621500500209537,0.9805499054240658,1.4601071648787203,1.5394783839085164,0.70254424722885,0.6044250489953329,0.7256546898086833,0.6905435233839406,0.6603616280836688
Q2,raw_comp,logit,0.8,0.6764235792254262,0.664032584119834,-0.016242510643261432,0.04708206144401228,0.041195453970778735,0.7232499173625054,0.32666666666666666,0.14666666666666667,0.7422222222222222,0.5622222222222222,0.824,0.84,-0.016000000000000014,-0.037985796090402923,0.05009081047112885,0.18000000000000005,0.0,0.0,0.0,1.2416006919731808,0.9683626941320108,1.4446869057268994,1.509215779182058,0.7012103752479528,0.6033324790846495,0.7232499173625054,0.6899297475615034,0.664032584119834
Q2,raw_comp,logit,0.9,0.6758673504029001,0.6716778916212537,-0.01679873946578747,0.05472736894543195,0.04022539390523034,0.7187918882768817,0.31333333333333335,0.1622222222222222,0.7133333333333334,0.5622222222222222,0.784,0.84,-0.05599999999999994,-0.04302204203100939,0.05665739002070289,0.1511111111111112,0.0,0.0,0.0,1.1675042674701144,0.927643838363829,1.3909522191382746,1.4090333445659773,0.6986470105233106,0.6014302991763193,0.7187918882768817,0.6889272252788279,0.6716778916212537
Q2,raw_comp,logit,1.0,0.6756468410192268,0.6797306871716269,-0.017019248849460822,0.06278016449580515,0.039671818406888534,0.7148076664637334,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.764,0.84,-0.07599999999999996,-0.04810905892442311,0.06327671661743185,0.10444444444444445,0.0,0.0,0.0,1.040521557968034,0.8606887197394125,1.3004704106056708,1.2453082815436702,0.6962231545124214,0.5999009255702442,0.7148076664637334,0.6882275988426698,0.6797306871716269
Q2,raw_comp,prob,0.1,0.6894234707088296,0.6219525109311485,-0.003242619159858018,0.005001988255326717,0.05586617263097001,0.7661434798292835,0.33555555555555555,0.11777777777777777,0.78,0.5622222222222222,0.844,0.84,0.0040000000000000036,-0.004810905892442293,0.006327671661743172,0.21777777777777785,0.0040000000000000036,0.0,0.0,1.2900315980107895,1.0186724529419975,1.4959945208851662,1.6362844753147703,0.7229379480690907,0.6277400793991904,0.7661434798292835,0.7049507678347119,0.6219525109311485
Q2,raw_comp,prob,0.2,0.6865610766273644,0.6272282908168749,-0.006105013241323176,0.01027776814105319,0.05278593517732279,0.7580042943318683,0.3377777777777778,0.11777777777777777,0.7822222222222223,0.5622222222222222,0.848,0.84,0.008000000000000007,-0.009621811784884596,0.012655343323486357,0.22000000000000008,0.008000000000000007,0.0,0.0,1.31671979830949,1.021780466086447,1.507864308238389,1.6501139030778909,0.7193612707928991,0.6233282324726107,0.7580042943318683,0.7018847470477166,0.6272282908168749
Q2,raw_comp,prob,0.3,0.6840595907661494,0.6327799795720827,-0.00860649910253819,0.01582945689626092,0.049992269350537716,0.750576841888336,0.3377777777777778,0.11777777777777777,0.7822222222222223,0.5622222222222222,0.848,0.84,0.008000000000000007,-0.014432717677326965,0.01898301498522958,0.22000000000000008,0.008000000000000007,0.0,0.0,1.327017240811005,1.021971235891709,1.5115800870234097,1.6513732162786314,0.7159436033912966,0.6192593700405798,0.750576841888336,0.6991484670230846,0.6327799795720827
Q2,raw_comp,prob,0.35,0.6829391452653563,0.6356601868658445,-0.009726944603331344,0.018709664190022735,0.04870531610774202,0.7471120923834832,0.3377777777777778,0.11777777777777777,0.7822222222222223,0.5622222222222222,0.856,0.84,0.016000000000000014,-0.016838170623548088,0.02214685081610115,0.22000000000000008,0.016000000000000014,0.0,0.0,1.3522703249779207,1.0222177908073862,1.5216256734496216,1.6621592610378557,0.7142933368053798,0.6173509291548066,0.7471120923834832,0.6978992725985553,0.6356601868658445
Q2,raw_comp,prob,0.4,0.6819032578488459,0.6386105560696396,-0.01076283201984174,0.021660033393817835,0.047493658590627964,0.7438050565239126,0.3377777777777778,0.11777777777777777,0.7822222222222223,0.5622222222222222,0.856,0.84,0.016000000000000014,-0.01924362356976924,0.025310686646972745,0.22000000000000008,0.016000000000000014,0.0,0.0,1.3575935710548692,1.0225629361893527,1.523794407010634,1.6630474043588708,0.7126815844609936,0.6155253022763285,0.7438050565239126,0.6967271512199636,0.6386105560696396
Q2,raw_comp,prob,0.45,0.6809504075722344,0.6416315955521577,-0.011715682296453256,0.02468107287633592,0.04635923173479851,0.7406502104066122,0.33555555555555555,0.12,0.7777777777777778,0.5622222222222222,0.856,0.84,0.016000000000000014,-0.021649076515990365,0.02847452247784432,0.2155555555555556,0.016000000000000014,0.0,0.0,1.3496541540772078,1.016338586100296,1.51675171303151,1.6480362523894656,0.7111079697904338,0.6137817363939738,0.7406502104066122,0.6956305948115098,0.6416315955521577
Q2,raw_comp,prob,0.5,0.6800792243251736,0.6447238692253168,-0.012586865543513959,0.027773346549495037,0.04530423890665407,0.7376425045111364,0.33555555555555555,0.12222222222222222,0.7755555555555556,0.5622222222222222,0.844,0.84,0.0040000000000000036,-0.02405452946221156,0.03163835830871593,0.21333333333333337,0.0040000000000000036,0.0,0.0,1.3184526379568537,1.0135434832122516,1.502496531553456,1.6261245759972713,0.709572132648868,0.6121195797942016,0.7376425045111364,0.6946082121129834,0.6447238692253168
