target,source,mode,alpha,full_logloss,last_logloss,full_delta_vs_base,last_delta_vs_base,fold_std,tail3_worst,fp_rate,fn_rate,pred_pos_rate,true_pos_rate,test_pos_rate,base_test_pos_rate,test_pos_delta,test_mean_delta,test_abs_delta_mean,fp_pressure,test_pos_inflation,full_regret,tail_regret,public_tail_score,private_full_score,balanced_score,fp_suppress_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,selector,candidate
S4,raw_comp,logit,1.0,0.62346290106244,0.5819236191578151,-0.0014624238726255179,0.007620027303750554,0.03886262139163856,0.6581020759253919,0.20444444444444446,0.15333333333333332,0.6111111111111112,0.56,0.544,0.648,-0.10399999999999998,-0.022328901297303846,0.037583224154647835,0.05111111111111111,0.0,0.0,0.0,0.6488196844138783,0.6558041134603964,0.9898219721403175,0.8381696162577031,0.6540715435846562,0.5692148113722199,0.6508200507393025,0.6581020759253919,0.5819236191578151,fp_suppress,selector_fp_suppress
Q1,base,prob,0.0,0.5845562623298485,0.603239911067091,0.0,0.0,0.03128107648161224,0.603239911067091,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.516,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603239911067091,0.5845562623298485,0.9163382134167486,0.7353662400966212,0.5323076641878073,0.6268605949918304,0.5844767451271372,0.5794223054334365,0.603239911067091,manual_public_tail,manual_public_tail
Q2,base,prob,0.0,0.6926660898686876,0.6169505226758217,0.0,0.0,0.059231366830132734,0.7750628801329537,0.3377777777777778,0.11555555555555555,0.7844444444444445,0.5622222222222222,0.84,0.84,0.0,0.0,0.0,0.22222222222222232,0.0,0.0,0.0,1.2836171893424888,1.025999423202021,1.4986555440070564,1.6469037205376433,0.7266772959957731,0.6325050011164576,0.7750628801329537,0.7083638938524018,0.6169505226758217,manual_public_tail,manual_public_tail
Q3,raw_full,logit,0.5,0.6532456442147404,0.6155494380120863,-0.012237063677227322,-0.006869429301264329,0.035591969359781685,0.6750531434142665,0.3244444444444444,0.05555555555555555,0.8688888888888889,0.6,0.908,0.916,-0.008000000000000007,-0.007671350406076259,0.024148632821526305,0.26888888888888896,0.0,0.0,0.0,1.3277008108468218,1.007147953678171,1.4898691207149153,1.6525864679129076,0.6928217412656023,0.6750311991201976,0.6750531434142665,0.6042665549997828,0.6155494380120863,manual_public_tail,manual_public_tail
S1,raw_last,logit,0.6,0.4898048731330387,0.42837580689475296,0.000960583251714997,-0.002597617950014952,0.03895927142918255,0.5335045947597638,0.2,0.042222222222222223,0.84,0.6822222222222222,0.8,0.8,0.0,0.010101153184151463,0.013035736458865285,0.1577777777777778,0.0,0.0,0.004451768621388297,0.5583943711603111,0.5544930553954256,0.8167431940384046,0.7499297798984574,0.47384657703774835,0.48163914346147707,0.5296220946260729,0.5335045947597638,0.42837580689475296,manual_public_tail,manual_public_tail
S2,raw_last,logit,0.75,0.5485795397864038,0.5268855766935532,-0.01404247177349216,-0.0415354798265305,0.024275216726558184,0.594035275739413,0.14888888888888888,0.14222222222222222,0.6577777777777778,0.6511111111111111,0.564,0.788,-0.2240000000000001,-0.05982363517600193,0.08183882313000711,0.00666666666666671,0.0,0.0,0.0062376534101689085,0.5724371931408153,0.565088936563092,0.8695358943848276,0.7063422515109938,0.5434966084448375,0.5289849471521534,0.5482784181765638,0.594035275739413,0.5268855766935532,manual_public_tail,manual_public_tail
S3,base,prob,0.0,0.5294421568160732,0.577938298805045,0.0,0.0,0.033833464217655,0.577938298805045,0.21333333333333335,0.03111111111111111,0.8444444444444444,0.6622222222222223,0.916,0.916,0.0,0.0,0.0,0.18222222222222217,0.0,0.0,0.0,1.0152716321383781,0.7481088234827398,1.1534415544921812,1.1987267315173344,0.5041729096195547,0.5282676873897062,0.5570493133066392,0.4850009849615262,0.577938298805045,manual_public_tail,manual_public_tail
S4,raw_last,logit,0.55,0.624168625520031,0.5704901936331729,-0.0007566994150344231,-0.0038133982208916617,0.03767351975940952,0.6633310733222432,0.24888888888888888,0.11555555555555555,0.6933333333333334,0.56,0.66,0.648,0.01200000000000001,0.004248155245599521,0.016360177700832205,0.1333333333333333,0.01200000000000001,0.0,0.0,0.7274948016008558,0.6931257170648142,1.0425724151078424,0.938626811245499,0.647831759673335,0.585778699564423,0.6496728241311458,0.6633310733222432,0.5704901936331729,manual_public_tail,manual_public_tail
Q1,raw_full,logit,0.8,0.5886240387927447,0.6149549090941261,0.004067776462896244,0.011714998027035128,0.031182730067867995,0.6149549090941261,0.13777777777777778,0.16666666666666666,0.4666666666666667,0.4955555555555556,0.532,0.516,0.016000000000000014,0.0036941139014542877,0.007356841941375173,0.0,0.016000000000000014,0.0035677764628962443,0.011714998027035128,0.6253852733895117,0.5925935434196372,0.9328023706784174,0.7450938239536381,0.5406446357761849,0.6282914734205212,0.591508637575046,0.5716607208475321,0.6149549090941261,global_raw_full_logit_a0p80,global_raw_full_logit_a0p80
Q2,raw_full,logit,0.8,0.6723071168508048,0.6502013747245873,-0.02035897301788281,0.033250852048765545,0.03931621158456577,0.7059664353922653,0.36666666666666664,0.07333333333333333,0.8555555555555555,0.5622222222222222,0.96,0.84,0.12,-0.015535914583283836,0.0515951930539892,0.29333333333333333,0.12,0.0,0.0,1.8688977695150792,1.1318560855240554,1.7917154694763224,2.0602056579271975,0.711055529359197,0.6057869973973544,0.6858096370260576,0.7059664353922653,0.6502013747245873,global_raw_full_logit_a0p80,global_raw_full_logit_a0p80
Q3,raw_full,logit,0.8,0.6493521138677808,0.6184435199409555,-0.01613059402418693,-0.003975347372395133,0.03420376817060364,0.6620570630972042,0.31777777777777777,0.07111111111111111,0.8466666666666667,0.6,0.888,0.916,-0.028000000000000025,-0.012681648800658207,0.038832407560844065,0.2466666666666667,0.0,0.0,0.0,1.2807463533571448,0.9770086138953995,1.4524090498905435,1.5840477438944476,0.6900511494674624,0.6734351667706358,0.6620570630972042,0.5993656166750482,0.6184435199409555,global_raw_full_logit_a0p80,global_raw_full_logit_a0p80
S1,raw_full,logit,0.8,0.48325151759687723,0.44173454989869043,-0.00559277228444649,0.010761125053922516,0.026504011416699672,0.5165097535297327,0.16,0.06666666666666667,0.7755555555555556,0.6822222222222222,0.732,0.8,-0.06800000000000006,-0.03233334950297824,0.03414395804470147,0.09333333333333338,0.0,0.0,0.0,0.5245957664960854,0.5254685925845711,0.783935219994976,0.687382430036914,0.46674451794932287,0.48724539625755764,0.5165097535297327,0.5031079956260016,0.44173454989869043,global_raw_full_logit_a0p80,global_raw_full_logit_a0p80
S2,raw_full,logit,0.8,0.5395583574943458,0.5507801898443923,-0.02306365406555022,-0.017640866675691425,0.016457457175583078,0.5607303606694332,0.19333333333333333,0.07333333333333333,0.7711111111111111,0.6511111111111111,0.704,0.788,-0.08400000000000007,0.0001184881805636273,0.058512401532760286,0.12,0.0,0.0,0.0,0.6748661425801171,0.5969203417395874,0.9284114303992449,0.8064963813233063,0.54461209956138,0.5155709582668486,0.5261747187971532,0.5607303606694332,0.5507801898443923,global_raw_full_logit_a0p80,global_raw_full_logit_a0p80
S3,raw_full,logit,0.8,0.5290768955113919,0.5951784988943286,-0.0003652613046812858,0.01724020008928362,0.045419922181712,0.5951784988943286,0.2088888888888889,0.04888888888888889,0.8222222222222222,0.6622222222222223,0.836,0.916,-0.08000000000000007,-0.009896802101677952,0.021398329650865903,0.15999999999999992,0.0,0.0,0.01724020008928362,0.9958874264772924,0.731301392063153,1.1380883749675104,1.1457329690197595,0.49411996196782326,0.5291499639201875,0.5641170286992078,0.4698691092845921,0.5951784988943286,global_raw_full_logit_a0p80,global_raw_full_logit_a0p80
S4,raw_full,logit,0.8,0.622465247379607,0.5776630217620016,-0.0024600775554585175,0.0033594299079370282,0.03834511136448975,0.6595043288397479,0.22,0.13777777777777778,0.6422222222222222,0.56,0.6,0.648,-0.04800000000000004,-0.009901588668660203,0.020463684389342283,0.0822222222222222,0.0,0.0,0.0,0.6684799914277475,0.6671131602868133,1.003465296533279,0.869845043208536,0.6509596415758448,0.5725222476943066,0.6483229551903275,0.6595043288397479,0.5776630217620016,global_raw_full_logit_a0p80,global_raw_full_logit_a0p80
Q1,raw_last,logit,0.5,0.5864775253583285,0.6068942566248267,0.001921263028480058,0.0036543455577356942,0.02928735305204008,0.6068942566248267,0.14666666666666667,0.16444444444444445,0.4777777777777778,0.4955555555555556,0.532,0.516,0.016000000000000014,0.008596928426632162,0.009850214444886906,0.0,0.016000000000000014,0.001421263028480058,0.0036543455577356942,0.6144080644841589,0.5879424223701506,0.9240086905401916,0.7410443491645551,0.5386929820448312,0.6251245603338148,0.5883904384021038,0.5767950300452342,0.6068942566248267,global_raw_last_logit_a0p50,global_raw_last_logit_a0p50
Q2,raw_last,logit,0.5,0.6944857260391861,0.6218986867034034,0.0018196361704985176,0.004948164027581692,0.062331970791618944,0.7901626905948433,0.3288888888888889,0.1288888888888889,0.7622222222222222,0.5622222222222222,0.836,0.84,-0.0040000000000000036,0.008312601369269904,0.012365202576073448,0.20000000000000007,0.0,0.0,0.015099810461889684,1.233437560204742,1.0003786367441476,1.465732567106473,1.5745973486810647,0.7249316693455279,0.6310066220599683,0.7901626905948433,0.7014589052770992,0.6218986867034034,global_raw_last_logit_a0p50,global_raw_last_logit_a0p50
Q3,raw_last,logit,0.5,0.6563553359331323,0.6161978589086006,-0.009127371958835395,-0.006221008404750039,0.03931750497179568,0.6926392883261028,0.3333333333333333,0.06,0.8733333333333333,0.6,0.916,0.916,0.0,-0.0023586589435000177,0.013167038125769364,0.2733333333333333,0.0,0.0,0.0,1.333974726163183,1.0140587361291042,1.4974709587248065,1.6667599009542402,0.6938807245598304,0.6748473219460908,0.6926392883261028,0.6011104468099269,0.6161978589086006,global_raw_last_logit_a0p50,global_raw_last_logit_a0p50
S1,raw_last,logit,0.5,0.4895184867964756,0.4286289792389132,0.000674196915151859,-0.002344445605854728,0.03856037442941301,0.5321278897509936,0.2,0.042222222222222223,0.84,0.6822222222222222,0.8,0.8,0.0,0.008497267542585181,0.010945801020199581,0.1577777777777778,0.0,0.0,0.003075063612618112,0.557939453247876,0.5538742696227169,0.815986321819189,0.7494558943952945,0.4731999944990683,0.4822262861364794,0.5294275720447144,0.5321278897509936,0.4286289792389132,global_raw_last_logit_a0p50,global_raw_last_logit_a0p50
