target,fold,model,param_profile,weight_profile,top_k,features,weight_min,weight_max,weight_std,delta_std_val
Q1,3,hist_gb,tiny,subject_class,160,160,0.772075309860778,1.3967627532667717,0.18590042838559823,0.1022847950475539
Q1,4,hist_gb,tiny,subject_class,160,160,0.7614693779023995,1.4101022679023945,0.18884372884815226,0.0286393182538707
Q1,0,hist_gb,tiny,recent_class,160,160,0.4095449895186069,2.3105241127612466,0.4016963569407968,0.03736789422349087
Q1,1,hist_gb,tiny,recent_class,160,160,0.30125428729861015,2.464651984031339,0.4786016867663399,0.023134488750781154
Q1,2,hist_gb,tiny,recent_class,160,160,0.3360141706095371,2.5101142517700215,0.5235912657430967,0.060160287971631095
Q1,3,hist_gb,tiny,recent_class,160,160,0.36034721446352846,2.8599931089311905,0.5491656072572014,0.09692101502019942
Q1,4,hist_gb,tiny,recent_class,160,160,0.38940514838796436,2.413617042531497,0.4181697105114215,0.08654281265344313
Q1,0,hist_gb,tiny,recent_resid,160,160,0.20252040756744824,3.295445890188341,0.5933096697406969,0.023567789311233447
Q1,1,hist_gb,tiny,recent_resid,160,160,0.12853003809724428,3.498493446423684,0.6871302208823948,0.030513632598199125
Q1,2,hist_gb,tiny,recent_resid,160,160,0.14354961704544592,3.7542717752709645,0.7595402688126621,0.079128066560472
Q1,3,hist_gb,tiny,recent_resid,160,160,0.15922850470520497,4.262440537323417,0.8412991435760283,0.11730896017973273
Q1,4,hist_gb,tiny,recent_resid,160,160,0.19571833989356893,3.0292044626170114,0.6004558495338105,0.08638595432368504
Q2,0,hist_gb,smooth,uniform,80,80,1.0,1.0,0.0,0.14196246477880273
Q2,1,hist_gb,smooth,uniform,80,80,1.0,1.0,0.0,0.1471095474249918
Q2,2,hist_gb,smooth,uniform,80,80,1.0,1.0,0.0,0.08989184185828164
Q2,3,hist_gb,smooth,uniform,80,80,1.0,1.0,0.0,0.13044849306842163
Q2,4,hist_gb,smooth,uniform,80,80,1.0,1.0,0.0,0.16728643691453668
Q2,0,hist_gb,smooth,subject_class,80,80,0.6944947170525303,1.6015586836136328,0.22920391587672992,0.15950263778182977
Q2,1,hist_gb,smooth,subject_class,80,80,0.7064029969484682,1.556954038069732,0.2088245410145694,0.1571552523029263
Q2,2,hist_gb,smooth,subject_class,80,80,0.7611092951969975,1.4232779923399739,0.1831577748808994,0.058278492437741164
Q2,3,hist_gb,smooth,subject_class,80,80,0.6903658060239651,1.6072749544068028,0.22935723472736116,0.1317977581886456
Q2,4,hist_gb,smooth,subject_class,80,80,0.7531888587965279,1.4320774518465347,0.1825327141307405,0.16740007327116974
Q2,0,hist_gb,smooth,recent_class,80,80,0.37343452016961265,2.4930388095277483,0.4198599727096614,0.1573288900480577
Q2,1,hist_gb,smooth,recent_class,80,80,0.2786021224026623,2.625933654531812,0.47986961804952605,0.1532973735721778
Q2,2,hist_gb,smooth,recent_class,80,80,0.31892883442194425,2.6731519165622135,0.5206801920402029,0.1103215513431909
Q2,3,hist_gb,smooth,recent_class,80,80,0.31875489502607407,3.07487519703036,0.551869692444577,0.169736785625362
Q2,4,hist_gb,smooth,recent_class,80,80,0.3852755171778563,2.451898783989217,0.416811083883251,0.07509683346394125
Q2,0,hist_gb,smooth,recent_resid,80,80,0.19748574549559283,3.1067171930031106,0.5692137476718786,0.17172940956197758
Q2,1,hist_gb,smooth,recent_resid,80,80,0.1580625942308832,3.266252256803107,0.6358221550601525,0.1860648160378015
Q2,2,hist_gb,smooth,recent_resid,80,80,0.18289949084030468,3.3610180494330395,0.7242320486803632,0.11590998365430273
Q2,3,hist_gb,smooth,recent_resid,80,80,0.19349088632993516,4.056726180846679,0.7943381593091658,0.09405919873408115
Q2,4,hist_gb,smooth,recent_resid,80,80,0.24662797832864475,3.3499415033179236,0.5981037951475735,0.10142143583881501
Q2,0,hist_gb,mid,uniform,80,80,1.0,1.0,0.0,0.1781579173903336
Q2,1,hist_gb,mid,uniform,80,80,1.0,1.0,0.0,0.17519763580010844
Q2,2,hist_gb,mid,uniform,80,80,1.0,1.0,0.0,0.06559167930364343
Q2,3,hist_gb,mid,uniform,80,80,1.0,1.0,0.0,0.11710499207418289
Q2,4,hist_gb,mid,uniform,80,80,1.0,1.0,0.0,0.13408969324035053
Q2,0,hist_gb,mid,subject_class,80,80,0.6944947170525303,1.6015586836136328,0.22920391587672992,0.1747317530884396
Q2,1,hist_gb,mid,subject_class,80,80,0.7064029969484682,1.556954038069732,0.2088245410145694,0.18376967093438765
Q2,2,hist_gb,mid,subject_class,80,80,0.7611092951969975,1.4232779923399739,0.1831577748808994,0.0593841812756148
Q2,3,hist_gb,mid,subject_class,80,80,0.6903658060239651,1.6072749544068028,0.22935723472736116,0.1257404182495304
Q2,4,hist_gb,mid,subject_class,80,80,0.7531888587965279,1.4320774518465347,0.1825327141307405,0.11054550642267114
Q2,0,hist_gb,mid,recent_class,80,80,0.37343452016961265,2.4930388095277483,0.4198599727096614,0.17751542132169368
Q2,1,hist_gb,mid,recent_class,80,80,0.2786021224026623,2.625933654531812,0.47986961804952605,0.1841173047489732
Q2,2,hist_gb,mid,recent_class,80,80,0.31892883442194425,2.6731519165622135,0.5206801920402029,0.10787905496686621
Q2,3,hist_gb,mid,recent_class,80,80,0.31875489502607407,3.07487519703036,0.551869692444577,0.15443965340697635
Q2,4,hist_gb,mid,recent_class,80,80,0.3852755171778563,2.451898783989217,0.416811083883251,0.08999022237872728
Q2,0,hist_gb,mid,recent_resid,80,80,0.19748574549559283,3.1067171930031106,0.5692137476718786,0.1603764385977808
Q2,1,hist_gb,mid,recent_resid,80,80,0.1580625942308832,3.266252256803107,0.6358221550601525,0.2151887306200144
Q2,2,hist_gb,mid,recent_resid,80,80,0.18289949084030468,3.3610180494330395,0.7242320486803632,0.11685254346591359
Q2,3,hist_gb,mid,recent_resid,80,80,0.19349088632993516,4.056726180846679,0.7943381593091658,0.18021457644070688
