target,fold,model,param_profile,weight_profile,top_k,features,weight_min,weight_max,weight_std,delta_std_val
Q1,3,extra_trees,wide,subject_class,160,160,0.772075309860778,1.3967627532667717,0.18590042838559823,0.07944062411982791
Q1,4,extra_trees,wide,subject_class,160,160,0.7614693779023995,1.4101022679023945,0.18884372884815226,0.057179943622686455
Q1,0,extra_trees,wide,recent_class,160,160,0.4095449895186069,2.3105241127612466,0.4016963569407968,0.05680208985511922
Q1,1,extra_trees,wide,recent_class,160,160,0.30125428729861015,2.464651984031339,0.4786016867663399,0.06578349356149094
Q1,2,extra_trees,wide,recent_class,160,160,0.3360141706095371,2.5101142517700215,0.5235912657430967,0.05590613870740867
Q1,3,extra_trees,wide,recent_class,160,160,0.36034721446352846,2.8599931089311905,0.5491656072572014,0.09155331784151645
Q1,4,extra_trees,wide,recent_class,160,160,0.38940514838796436,2.413617042531497,0.4181697105114215,0.055797106413530015
Q1,0,extra_trees,wide,recent_resid,160,160,0.20252040756744824,3.295445890188341,0.5933096697406969,0.05743506436334475
Q1,1,extra_trees,wide,recent_resid,160,160,0.12853003809724428,3.498493446423684,0.6871302208823948,0.0581618432032581
Q1,2,extra_trees,wide,recent_resid,160,160,0.14354961704544592,3.7542717752709645,0.7595402688126621,0.04745465640258625
Q1,3,extra_trees,wide,recent_resid,160,160,0.15922850470520497,4.262440537323417,0.8412991435760283,0.08625728206474126
Q1,4,extra_trees,wide,recent_resid,160,160,0.19571833989356893,3.0292044626170114,0.6004558495338105,0.06226893312013874
Q2,0,extra_trees,smooth,uniform,80,80,1.0,1.0,0.0,0.07437400331426519
Q2,1,extra_trees,smooth,uniform,80,80,1.0,1.0,0.0,0.06642171266477576
Q2,2,extra_trees,smooth,uniform,80,80,1.0,1.0,0.0,0.09634237995763066
Q2,3,extra_trees,smooth,uniform,80,80,1.0,1.0,0.0,0.0793093867321653
Q2,4,extra_trees,smooth,uniform,80,80,1.0,1.0,0.0,0.043107754981089506
Q2,0,extra_trees,smooth,subject_class,80,80,0.6944947170525303,1.6015586836136328,0.22920391587672992,0.07624457204743547
Q2,1,extra_trees,smooth,subject_class,80,80,0.7064029969484682,1.556954038069732,0.2088245410145694,0.07304266476127744
Q2,2,extra_trees,smooth,subject_class,80,80,0.7611092951969975,1.4232779923399739,0.1831577748808994,0.10194075447664779
Q2,3,extra_trees,smooth,subject_class,80,80,0.6903658060239651,1.6072749544068028,0.22935723472736116,0.08373743785436168
Q2,4,extra_trees,smooth,subject_class,80,80,0.7531888587965279,1.4320774518465347,0.1825327141307405,0.04529524962072909
Q2,0,extra_trees,smooth,recent_class,80,80,0.37343452016961265,2.4930388095277483,0.4198599727096614,0.08289557402633253
Q2,1,extra_trees,smooth,recent_class,80,80,0.2786021224026623,2.625933654531812,0.47986961804952605,0.07667200703090847
Q2,2,extra_trees,smooth,recent_class,80,80,0.31892883442194425,2.6731519165622135,0.5206801920402029,0.10506714203568172
Q2,3,extra_trees,smooth,recent_class,80,80,0.31875489502607407,3.07487519703036,0.551869692444577,0.1089292311960411
Q2,4,extra_trees,smooth,recent_class,80,80,0.3852755171778563,2.451898783989217,0.416811083883251,0.04002571005349707
