candidate,full_logloss,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,last_logloss,tail3_mean,tail3_worst,fold_std,notes,full_delta_vs_anchor,last_delta_vs_anchor,rank_score
subblend_arith_diverse_oof_stack_35_65knn,0.5981485124073949,0.5935445841535871,0.5840839141534335,0.6224761663157116,0.5942067326519169,0.5973852187490282,0.5973852187490282,0.6046893725722189,0.6224761663157116,0.012859098142109874,submission-level arith blend with KNN guarded,0.002318761314019868,0.004103011950693736,0.6070887385302804
subblend_arith_extra_trees_35_65knn,0.5990721663612337,0.5952598023967534,0.584156269015212,0.6213985594079673,0.5976804909541847,0.5976773558793809,0.5976773558793809,0.6055854687471777,0.6213985594079673,0.012159247032892563,submission-level arith blend with KNN guarded,0.0032424152678587337,0.004395149081046434,0.6080755605124454
subblend_logit_diverse_oof_stack_50_50knn,0.5993448359968301,0.5939747900609813,0.5853835721055936,0.6224820019803717,0.5959195948302014,0.6000066679688262,0.6000066679688262,0.6061360882597997,0.6224820019803717,0.012418016685597656,submission-level logit blend with KNN guarded,0.00351508490345509,0.006724461170491747,0.611000365126209
subblend_arith_diverse_oof_stack_50_50knn,0.5994880858259807,0.593974032094442,0.5857285355227523,0.6226150592506036,0.5961262955879929,0.600037537971628,0.600037537971628,0.6062596309367415,0.6226150592506036,0.012377186230453887,submission-level arith blend with KNN guarded,0.0036583347326056836,0.006755331173293522,0.6112494399803883
subblend_logit_feature_knn_20_80knn,0.6057582581095831,0.6112029566242965,0.5903007682994981,0.6181824097921477,0.6141453498794461,0.5943798406354268,0.5943798406354268,0.6089025334356736,0.6181824097921477,0.011159594067840084,submission-level logit blend with KNN guarded,0.009928507016208066,0.0010976338370923822,0.6125205578845049
subblend_logit_extra_trees_50_50knn,0.6009256039806459,0.5963900359884392,0.5857016199894958,0.6212461343109624,0.6015573332389353,0.6005793389322001,0.6005793389322001,0.607794268827366,0.6212461343109624,0.01153811688984992,submission-level logit blend with KNN guarded,0.00509585288727088,0.007297132133865625,0.6129312711823651
subblend_arith_hist_gb_35_65knn,0.6008799869172545,0.5952414329457929,0.5848110455845669,0.6233894697467661,0.6012245725277953,0.6007122752585158,0.6007122752585158,0.6084421058443591,0.6233894697467661,0.012622489581534177,submission-level arith blend with KNN guarded,0.005050235823879534,0.007430068460181349,0.6135192063601775
subblend_logit_hist_gb_35_65knn,0.6008322489119547,0.5949029848993372,0.5848719642351691,0.6232878166558475,0.6012610112465449,0.6008388212987305,0.6008388212987305,0.6084625497337076,0.6232878166558475,0.012602561008420997,submission-level logit blend with KNN guarded,0.005002497818579754,0.0075566145003960195,0.6135314114493491
subblend_arith_extra_trees_50_50knn,0.6015726023307061,0.5975093589343535,0.5863022972355572,0.6217777453934631,0.6018327548391686,0.60126530137211,0.60126530137211,0.6082919338682472,0.6217777453934631,0.011471409169835224,submission-level arith blend with KNN guarded,0.0057428512373310925,0.007983094573775551,0.6145996122619322
subblend_arith_logreg_enet_20_80knn,0.6019881860222737,0.5988336321742799,0.5834158759696448,0.6310786112880961,0.5985666120400829,0.598943111190928,0.598943111190928,0.6095294448397023,0.6310786112880961,0.01563300042625408,submission-level arith blend with KNN guarded,0.006158434928898671,0.005660904392593591,0.6157229718412138
subblend_arith_feature_knn_35_65knn,0.6047668767779095,0.6067339122847712,0.5903464463852272,0.6216390770032582,0.6059133392291383,0.5993116895977888,0.5993116895977888,0.6089547019433951,0.6216390770032582,0.010271905389106443,submission-level arith blend with KNN guarded,0.00893712568453453,0.0060294827994543665,0.6171569093955427
subblend_arith_hist_gb_50_50knn,0.6051302140186863,0.5983018961695006,0.5885496898875932,0.6261586495561635,0.6072933203019263,0.6064263656955011,0.6064263656955011,0.6132927785178637,0.6261586495561635,0.012408553985922383,submission-level arith blend with KNN guarded,0.009300462925311281,0.013144158897166691,0.624880114946873
subblend_logit_hist_gb_50_50knn,0.6052213408062823,0.5979560029760902,0.5889431267974482,0.6261938671030086,0.6074185851794519,0.6067036115898328,0.6067036115898328,0.6134386879574311,0.6261938671030086,0.012364396499928636,submission-level logit blend with KNN guarded,0.009391589712907322,0.013421404791498337,0.6252553088601459
subblend_logit_logreg_enet_20_80knn,0.6090274446367427,0.6008586413696309,0.5845856320264776,0.6496613002918478,0.6099483858942142,0.6012704599994559,0.6012704599994559,0.6202933820618393,0.6496613002918478,0.021798985445645753,submission-level logit blend with KNN guarded,0.01319769354336775,0.007988253201121509,0.6313457716950105
diverse_oof_stack,0.6066139033357734,0.5972448795159169,0.5956157172962853,0.6254187242757462,0.604201830614958,0.6119735100105539,0.6119735100105539,0.6138646883004194,0.6254187242757462,0.010922634730193548,fold-safe stack over diverse single models,0.01078415224239837,0.018691303212219457,0.6321936509655158
subblend_arith_feature_knn_50_50knn,0.6122095587033594,0.6166232951297922,0.5973725223820752,0.6242727744508849,0.616737688868508,0.605824176514124,0.605824176514124,0.6156115466111722,0.6242727744508849,0.009448888947440615,submission-level arith blend with KNN guarded,0.016379807609984365,0.01254196971578958,0.633425317673
