target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q1,ridge|logit_newton|ridge0p3|recent_class|top40,ridge,ridge0p3,recent_class,40,0.2,0.5932879119001603,0.6081280489489449,0.002863028028532555,-0.01037782255426789,0.612576923826307,0.5390327568055094,0.6367278883148316,0.5966975033249405,0.5893290787763071,0.6081280489489449
Q1,ridge|logit_newton|ridge1|recent_class|top40,ridge,ridge1,recent_class,40,0.2,0.5919171228637032,0.6094334825231765,0.001492238992075512,-0.009072388980036261,0.6130854846438736,0.5368003008048429,0.6339333880451975,0.5954629431329448,0.5876500372519146,0.6094334825231765
Q1,ridge|logit_newton|ridge3|recent_class|top40,ridge,ridge3,recent_class,40,0.2,0.5907055061008984,0.6117323209573858,0.00028062222927072167,-0.006773550545826956,0.6148207808593159,0.5335591797628003,0.631539940804153,0.5943842720794495,0.5863314047295715,0.6117323209573858
Q1,ridge|logit_newton|ridge100|subject_class|top40,ridge,ridge100,subject_class,40,0.35,0.5917262459518018,0.6120778413900876,0.0013013620801740622,-0.006428030113125205,0.6156554742505407,0.5342314607087935,0.6293003061520094,0.597575366338106,0.5895081900574922,0.6120778413900876
Q1,ridge|logit_newton|ridge100|uniform|top40,ridge,ridge100,uniform,40,0.35,0.592218057529045,0.6141748322818447,0.0017931736574172685,-0.004331039221368127,0.6183278509454627,0.5339196265354549,0.6282473059112976,0.5970276500527657,0.5918896986887229,0.6141748322818447
Q1,ridge|logit_newton|ridge0p3|recent_resid|top40,ridge,ridge0p3,recent_resid,40,0.12,0.5932568171140564,0.6132359033956207,0.002831933242428697,-0.00526996810759206,0.6186196870014162,0.5396484103830905,0.6353917457958767,0.5975174272469077,0.584304774298367,0.6132359033956207
Q1,ridge|logit_newton|ridge10|recent_class|top40,ridge,ridge10,recent_class,40,0.2,0.5902283151931934,0.6152621781615798,-0.0001965686784343168,-0.0032436933416329916,0.6186686511731008,0.5308357381670892,0.6300027981243587,0.5940246088895736,0.5854026522607715,0.6152621781615798
Q1,ridge|logit_newton|ridge1|recent_resid|top40,ridge,ridge1,recent_resid,40,0.12,0.5923762655720533,0.6144818691899071,0.0019513817004255252,-0.004024002313305686,0.6194403205501975,0.5384695285902126,0.6334139891825058,0.5961407696939383,0.5833263149619459,0.6144818691899071
Q1,ridge|logit_newton|ridge3|recent_resid|top40,ridge,ridge3,recent_resid,40,0.12,0.5916095908987894,0.616446221919406,0.0011847070271616689,-0.0020596495838067774,0.6211323607209654,0.5363078102652393,0.6317694622724846,0.5950217513852003,0.5826836250265307,0.616446221919406
Q1,ridge|logit_newton|ridge30|recent_class|top40,ridge,ridge30,recent_class,40,0.12,0.5902985772116848,0.617905889782303,-0.0001263066599429541,-0.0005999817209098035,0.6221270442709598,0.535571903135556,0.6298694946311092,0.5940305863029938,0.5784638759317603,0.617905889782303
Q1,ridge|logit_newton|ridge0p3|uniform|top240,ridge,ridge0p3,uniform,240,0.03,0.5904633834581662,0.6175424345402094,3.849958653845409e-05,-0.0009634369630033834,0.6224830994722642,0.5421651181898308,0.6350705201815929,0.591024181215452,0.570441583612509,0.6175424345402094
