target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q3,ridge|logit_newton|ridge30|recent_resid|top120,ridge,ridge30,recent_resid,120,0.12,0.6837555026286907,0.6450290027936917,0.02107495650048996,0.010336994552938239,0.6765384667245283,0.7110742182791213,0.6925486803266452,0.7390532205160381,0.629141174657082,0.6450290027936917
Q3,ridge|logit_newton|ridge30|recent_resid|top80,ridge,ridge30,recent_resid,80,0.12,0.680532738822581,0.6473565471111019,0.01785219269438032,0.012664538870348463,0.6765612659985499,0.7017883101097087,0.690400107610961,0.7399222489167407,0.6220326242640086,0.6473565471111019
Q3,ridge|logit_newton|ridge10|recent_class|top160,ridge,ridge10,recent_class,160,0.12,0.6846122932630471,0.643501827287528,0.021931747134846358,0.00880981904677458,0.6765956079460004,0.7128199947909031,0.6911911081757659,0.7446183465502778,0.6289579319052349,0.643501827287528
Q3,ridge|logit_newton|ridge1|subject_class|top120,ridge,ridge1,subject_class,120,0.12,0.6835159764659015,0.6452702253926652,0.020835430337700744,0.010578217151911762,0.6768004337361078,0.7170735713369115,0.6913546304479309,0.7380850979767601,0.6235985822149003,0.6452702253926652
Q3,ridge|logit_newton|ridge1|recent_class|top80,ridge,ridge1,recent_class,80,0.12,0.6816327013164808,0.6453148384579566,0.018952155188280084,0.010622830217203116,0.6768840748487202,0.7083485675463967,0.6900456065965398,0.7467485560080062,0.6162837063471724,0.6453148384579566
Q3,ridge|logit_newton|ridge0p3|subject_class|top240,ridge,ridge0p3,subject_class,240,0.12,0.6838587142294343,0.646071071951521,0.02117816810123363,0.011379063710767578,0.6768879554799955,0.7239125337695593,0.6879641921132614,0.7323314523016702,0.626360223015431,0.646071071951521
Q3,ridge|logit_newton|ridge10|recent_class|top120,ridge,ridge10,recent_class,120,0.12,0.684592834005315,0.6446799222959723,0.0219122878771143,0.009987914055218816,0.6775635841090379,0.7136988809087096,0.6934854281146544,0.7425509390993311,0.6265486991399123,0.6446799222959723
Q3,ridge|logit_newton|ridge0p3|recent_class|top240,ridge,ridge0p3,recent_class,240,0.12,0.6823629367367926,0.647329208028417,0.019682390608591893,0.012637199787663533,0.6777578288024451,0.7188156448395934,0.681136587274719,0.7384257582625767,0.6240434771458636,0.647329208028417
Q3,ridge|logit_newton|ridge10|recent_resid|top80,ridge,ridge10,recent_resid,80,0.12,0.6816864737977562,0.6475125650027227,0.019005927669555445,0.012820556761969248,0.678233716510651,0.7042087665149475,0.6913760933995702,0.7433765759646156,0.6207488920944153,0.6475125650027227
Q3,ridge|logit_newton|ridge100|uniform|top40,ridge,ridge100,uniform,40,0.35,0.6775025215920216,0.6521641617666504,0.014821975463820913,0.017472153525896927,0.6783092450828432,0.6935647999857555,0.6896368739230612,0.7356827772447012,0.6160053301435757,0.6521641617666504
