target,fold,model,param_profile,weight_profile,top_k,features,stop_policy,stop_iteration,weight_min,weight_max,weight_std,delta_std_val
S1,2,ridge,ridge1,recent_resid,40,40,closed_form_no_early_stopping,,0.059773209020969754,6.439600873253721,1.1443940466192672,0.9080641537089731
S1,3,ridge,ridge1,recent_resid,40,40,closed_form_no_early_stopping,,0.06693946261022275,7.498138269501782,1.1805752384767991,1.0249722630744915
S1,4,ridge,ridge1,recent_resid,40,40,closed_form_no_early_stopping,,0.07850058234342976,4.8181086780583495,0.9822364153922437,0.7642379897216439
S1,0,ridge,ridge3,uniform,40,40,closed_form_no_early_stopping,,0.3054525678365808,1.5272558947020973,0.38861402844009213,0.9031397469947586
S1,1,ridge,ridge3,uniform,40,40,closed_form_no_early_stopping,,0.3178821858511081,1.5894037021866898,0.4172445305966492,1.2402492968791994
S1,2,ridge,ridge3,uniform,40,40,closed_form_no_early_stopping,,0.3210005193234873,1.6049952986531038,0.41551789833231845,0.6963703383447467
S1,3,ridge,ridge3,uniform,40,40,closed_form_no_early_stopping,,0.3111911278701845,1.5559485644036402,0.4023521793567252,0.5778605003179149
S1,4,ridge,ridge3,uniform,40,40,closed_form_no_early_stopping,,0.3090982212894733,1.5447796685392212,0.3917812161404023,0.8557468619056919
S1,0,ridge,ridge3,subject_class,40,40,closed_form_no_early_stopping,,0.10239267423513698,2.8149102228415264,0.6420768027243843,0.9482817354124026
S1,1,ridge,ridge3,subject_class,40,40,closed_form_no_early_stopping,,0.10847544034579602,2.900984173326107,0.658030827201325,1.2601209209975308
S1,2,ridge,ridge3,subject_class,40,40,closed_form_no_early_stopping,,0.10720038252877098,2.9897638941020515,0.6868977891174738,0.7398396747277881
S1,3,ridge,ridge3,subject_class,40,40,closed_form_no_early_stopping,,0.1030904786419228,3.0572041348130163,0.6787801795789384,0.7038117697986519
S1,4,ridge,ridge3,subject_class,40,40,closed_form_no_early_stopping,,0.14460693546722908,2.7580599243965778,0.6222194924493925,0.7830726368043162
S1,0,ridge,ridge3,recent_class,40,40,closed_form_no_early_stopping,,0.1450534111664883,4.039726694758747,0.7607697688582332,1.0256944188836048
