split,target,fold,subject_id,rows,emission_power,transition_blend,p00,p11,before_mean,after_mean,candidate
oof,S4,0,id03,7,1.5,0.45,0.5714285714285714,0.6354166666666666,0.24090734297083202,0.13615773926904118,targetwise_lastbest
oof,S4,0,id04,12,1.5,0.45,0.5714285714285714,0.6354166666666666,0.4256113187973527,0.3881888513838341,targetwise_lastbest
oof,S4,0,id05,9,1.5,0.45,0.5714285714285714,0.6354166666666666,0.533417518790313,0.5786623504029951,targetwise_lastbest
oof,S4,0,id06,10,1.5,0.45,0.5714285714285714,0.6354166666666666,0.8099713741560285,0.9249484716572972,targetwise_lastbest
oof,S4,0,id07,10,1.5,0.45,0.5714285714285714,0.6354166666666666,0.46311793170107884,0.4538398041690807,targetwise_lastbest
oof,S4,0,id08,12,1.5,0.45,0.5714285714285714,0.6354166666666666,0.6546381281815966,0.7654816488374981,targetwise_lastbest
oof,S4,0,id09,9,1.5,0.45,0.5714285714285714,0.6354166666666666,0.5468272657419265,0.6015967198564565,targetwise_lastbest
oof,S4,0,id10,7,1.5,0.45,0.5714285714285714,0.6354166666666666,0.6690390393401496,0.7840133656400197,targetwise_lastbest
oof,S4,1,id01,8,1.5,0.45,0.51875,0.6192893401015228,0.505534741272115,0.46716840294299344,targetwise_lastbest
oof,S4,1,id02,10,1.5,0.45,0.51875,0.6192893401015228,0.6797434898166118,0.809231312092108,targetwise_lastbest
oof,S4,1,id03,7,1.5,0.45,0.51875,0.6192893401015228,0.3327898817793486,0.3495756570293714,targetwise_lastbest
oof,S4,1,id04,11,1.5,0.45,0.51875,0.6192893401015228,0.5362201779909431,0.5268866967560992,targetwise_lastbest
oof,S4,1,id05,9,1.5,0.45,0.51875,0.6192893401015228,0.43844678688256944,0.37930846860081335,targetwise_lastbest
oof,S4,1,id06,10,1.5,0.45,0.51875,0.6192893401015228,0.7544709885041493,0.8033199099632646,targetwise_lastbest
oof,S4,1,id07,10,1.5,0.45,0.51875,0.6192893401015228,0.514672175067586,0.5987528266336974,targetwise_lastbest
