target,emission_power,transition_blend,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
S2,0.8,0.3,0.5999314656384171,0.6983203619421988,0.03981105994870893,0.07550503904676542
S2,1.0,0.15,0.5985088401165207,0.7003478911936984,0.0383884344268125,0.07753256829826505
S2,0.65,0.45,0.603926481543323,0.7021227430971887,0.043806075853614734,0.0793074202017553
S2,0.5,0.6,0.610447753098061,0.7079208992752015,0.05032734740835276,0.08510557637976812
S2,0.8,0.45,0.6034336598189207,0.7141410297597947,0.0433132541292125,0.09132570686436126
S2,1.0,0.3,0.6028398623534863,0.7167048169592153,0.04271945666377808,0.09388949406378189
S2,0.65,0.6,0.6073087319028554,0.7183513059945651,0.04718832621314717,0.0955359830991317
S2,1.25,0.15,0.6073341824701952,0.7271631409897437,0.04721377678048699,0.10434781809431026
S2,0.5,0.8,0.6154074816388099,0.7311825204481255,0.05528707594910165,0.10836719755269208
S2,0.8,0.6,0.6091703565560516,0.7332058393978144,0.04904995086634334,0.11039051650238096
S2,1.0,0.45,0.6092218124216306,0.7359228499039171,0.049101406731922426,0.1131075270084837
S2,0.65,0.8,0.6156880533544192,0.7458114127452139,0.055567647664711006,0.1229960898497805
S2,1.25,0.3,0.6149143460658812,0.7472659333760231,0.05479394037617302,0.1244506104805897
S2,1.0,0.6,0.6177909257726715,0.7582580957985002,0.05767052008296325,0.13544277290306683
S2,1.5,0.15,0.6236926512933263,0.76075219210241,0.06357224560361807,0.13793686920697656
S2,0.5,1.0,0.6254817814320678,0.7624351524755422,0.06536137574235956,0.13961982958010877
S2,0.8,0.8,0.6206662548165963,0.7643380315435004,0.060545849126888096,0.14152270864806704
S2,1.25,0.45,0.6244559744474768,0.7700430855354319,0.06433556875776858,0.14722776263999848
S2,0.65,1.0,0.6292029393816782,0.7811979315464832,0.06908253369196993,0.1583826086510498
S2,1.5,0.3,0.6340935335145697,0.7839757763069853,0.07397312782486143,0.16116045341155194
S2,1.0,0.8,0.6329604132925716,0.7935370828732722,0.07284000760286335,0.17072175997783878
S2,1.25,0.6,0.6360844276364495,0.7957491953366206,0.07596402194674123,0.1729338724411872
S2,0.8,1.0,0.6372302859628005,0.8032428169214827,0.07710988027309229,0.1804274940260493
S2,1.5,0.45,0.6463459014304214,0.8096836954450096,0.08622549574071314,0.18686837254957622
S2,1.25,0.8,0.6551584041318592,0.8352237070834486,0.095037998442151,0.21240838418801522
S2,1.0,1.0,0.6530428222155825,0.8363228484729653,0.0929224165258743,0.21350752557753194
S2,1.5,0.6,0.6605718828408602,0.8381331484087196,0.10045147715115199,0.21531782551328615
S2,1.5,0.8,0.6829270245487775,0.8809724559324679,0.1228066188590693,0.25815713303703447
S2,1.25,1.0,0.6789207367837301,0.8818486410253242,0.11880033109402188,0.25903331812989083
S2,1.5,1.0,0.7097532191422291,0.9306166723613037,0.14963281345252089,0.30780134946587034
S3,0.65,0.15,0.5802159505195529,0.6129487835878943,0.03866457599786477,0.012269758597320712
S3,0.8,0.15,0.5705852095114715,0.6130739182725059,0.029033834989783402,0.012394893281932329
S3,0.65,0.3,0.5769048013754654,0.6166594588960169,0.03535342685377729,0.015980433905443348
S3,0.5,0.15,0.5948803208642942,0.6182934813372426,0.0533289463426061,0.017614456346669027
S3,0.5,0.3,0.5891817645217796,0.6187763932524055,0.047630390000091505,0.018097368261831948
S3,0.8,0.3,0.5698042535491366,0.6201278085306448,0.02825287902744844,0.01944878354007118
S3,1.0,0.15,0.5645261757297928,0.620545153083576,0.02297480120810469,0.019866128093002478
S3,0.5,0.45,0.5857196062049413,0.6219453125935225,0.044168231683253234,0.021266287602948908
S3,0.65,0.45,0.5760645246069602,0.6233400738584755,0.034513150085272115,0.02266104886790188
S3,0.5,0.6,0.5848438698633855,0.6282816656158422,0.043292495341697435,0.027602640625268626
S3,0.8,0.45,0.5716355204392775,0.6303093718493347,0.030084145917589344,0.029630346858761092
S3,1.0,0.3,0.5671294272466869,0.6319704346231921,0.0255780527249988,0.03129140963261856
S3,0.65,0.6,0.5780074807268761,0.6334239329813647,0.03645610620518802,0.032744907990791106
S3,1.25,0.15,0.5659928729025472,0.6395263266039548,0.024441498380859072,0.038847301613381235
S3,0.5,0.8,0.5884791194533202,0.6427358523618755,0.0469277449316321,0.0420568273713019
S3,0.8,0.6,0.5763499472980688,0.6440025302201943,0.034798572776380654,0.043323505229620696
S3,1.0,0.45,0.5724150454215858,0.6465799696713479,0.03086367089989772,0.045900944680774325
S3,0.65,0.8,0.5856320146174533,0.6531505227749055,0.04408064009576518,0.05247149778433191
S3,1.25,0.3,0.5726023553450283,0.6559940582768309,0.031050980823340235,0.05531503328625731
