target,fold,model,param_profile,weight_profile,top_k,features,weight_min,weight_max,weight_std,delta_std_val
Q1,4,ridge,ridge10,subject_class,160,160,0.7614693779023995,1.4101022679023945,0.18884372884815226,0.2885858508140624
Q1,0,ridge,ridge10,recent_class,160,160,0.4095449895186069,2.3105241127612466,0.4016963569407968,86628234304.53925
Q1,1,ridge,ridge10,recent_class,160,160,0.30125428729861015,2.464651984031339,0.4786016867663399,0.27338966245376173
Q1,2,ridge,ridge10,recent_class,160,160,0.3360141706095371,2.5101142517700215,0.5235912657430967,0.2810747219394202
Q1,3,ridge,ridge10,recent_class,160,160,0.36034721446352846,2.8599931089311905,0.5491656072572014,0.31523497345834994
Q1,4,ridge,ridge10,recent_class,160,160,0.38940514838796436,2.413617042531497,0.4181697105114215,0.2771061524657705
Q1,0,ridge,ridge10,recent_resid,160,160,0.20252040756744824,3.295445890188341,0.5933096697406969,120877908446.05138
Q1,1,ridge,ridge10,recent_resid,160,160,0.12853003809724428,3.498493446423684,0.6871302208823948,0.30185539907125475
Q1,2,ridge,ridge10,recent_resid,160,160,0.14354961704544592,3.7542717752709645,0.7595402688126621,0.31470219614740313
Q1,3,ridge,ridge10,recent_resid,160,160,0.15922850470520497,4.262440537323417,0.8412991435760283,0.3604514329344137
Q1,4,ridge,ridge10,recent_resid,160,160,0.19571833989356893,3.0292044626170114,0.6004558495338105,0.29622164105888305
Q1,0,ridge,ridge30,uniform,160,160,1.0,1.0,0.0,46144995107.530655
Q1,1,ridge,ridge30,uniform,160,160,1.0,1.0,0.0,0.21851014496520924
Q1,2,ridge,ridge30,uniform,160,160,1.0,1.0,0.0,0.2526622495343722
Q1,3,ridge,ridge30,uniform,160,160,1.0,1.0,0.0,0.25353155613226813
Q1,4,ridge,ridge30,uniform,160,160,1.0,1.0,0.0,0.26871003056514176
Q1,0,ridge,ridge30,subject_class,160,160,0.7803439410884278,1.381378822297987,0.18248271417243525,41614955925.2465
Q1,1,ridge,ridge30,subject_class,160,160,0.7682190851982007,1.4022334198570934,0.19051796440174487,0.21835525658273852
Q1,2,ridge,ridge30,subject_class,160,160,0.8044444444444444,1.3407407407407406,0.1741295101959639,0.254598484643042
Q1,3,ridge,ridge30,subject_class,160,160,0.772075309860778,1.3967627532667717,0.18590042838559823,0.26147183940725943
Q1,4,ridge,ridge30,subject_class,160,160,0.7614693779023995,1.4101022679023945,0.18884372884815226,0.27067503882468835
Q1,0,ridge,ridge30,recent_class,160,160,0.4095449895186069,2.3105241127612466,0.4016963569407968,70765372310.66617
Q1,1,ridge,ridge30,recent_class,160,160,0.30125428729861015,2.464651984031339,0.4786016867663399,0.23760252655600464
Q1,2,ridge,ridge30,recent_class,160,160,0.3360141706095371,2.5101142517700215,0.5235912657430967,0.2591890239003916
Q1,3,ridge,ridge30,recent_class,160,160,0.36034721446352846,2.8599931089311905,0.5491656072572014,0.27164998536147156
Q1,4,ridge,ridge30,recent_class,160,160,0.38940514838796436,2.413617042531497,0.4181697105114215,0.25517713969992095
Q1,0,ridge,ridge30,recent_resid,160,160,0.20252040756744824,3.295445890188341,0.5933096697406969,96541283569.9259
Q1,1,ridge,ridge30,recent_resid,160,160,0.12853003809724428,3.498493446423684,0.6871302208823948,0.26040793751350594
Q1,2,ridge,ridge30,recent_resid,160,160,0.14354961704544592,3.7542717752709645,0.7595402688126621,0.2917891009770991
Q1,3,ridge,ridge30,recent_resid,160,160,0.15922850470520497,4.262440537323417,0.8412991435760283,0.3030813910316622
Q1,4,ridge,ridge30,recent_resid,160,160,0.19571833989356893,3.0292044626170114,0.6004558495338105,0.26811562531226496
