split,target,fold,subject_id,rows,drift,before_mean,after_mean
oof,Q1,4,id01,8,-0.20833333333333331,0.47099550677140567,0.4670002803755572
oof,Q1,4,id02,9,0.08653846153846156,0.5635519025845671,0.5652634407811856
oof,Q1,4,id03,6,0.14814814814814814,0.7213625043666081,0.7254129968990379
oof,Q1,4,id04,11,0.2282608695652174,0.6155045961847022,0.621886877396546
oof,Q1,4,id05,8,-0.01388888888888884,0.43649764158998605,0.43649764158998605
oof,Q1,4,id06,9,0.07051282051282051,0.3466368529554634,0.34891838203568176
oof,Q1,4,id07,9,-0.15000000000000002,0.47078227156452546,0.4669178775050507
oof,Q1,4,id08,11,-0.12777777777777777,0.35646527187000354,0.35266689996781486
oof,Q1,4,id09,8,-0.17424242424242425,0.39999194140348737,0.39667244450115413
oof,Q1,4,id10,6,-0.19444444444444442,0.4950950375769163,0.486236446008453
test,Q1,-1,id01,27,-0.01785714285714285,0.43367240138090374,0.43367240138090374
test,Q1,-1,id02,32,0.09375,0.5105957198340306,0.5124948088357641
test,Q1,-1,id03,21,0.18181818181818177,0.6787227179611905,0.6821541924490676
test,Q1,-1,id04,27,-0.22058823529411764,0.5842484958604136,0.5785711614125655
test,Q1,-1,id05,21,0.2596153846153846,0.5974882935120752,0.6037904963968094
test,Q1,-1,id06,24,0.24166666666666667,0.2615632648414763,0.2701546770152999
test,Q1,-1,id07,30,-0.17045454545454541,0.5296516335797071,0.5264140739214674
test,Q1,-1,id08,19,-0.0625,0.35189420653875336,0.3510356110347969
test,Q1,-1,id09,27,0.1607142857142857,0.5103423937300035,0.5132981975902968
test,Q1,-1,id10,22,-0.32954545454545453,0.4602822400374256,0.4526868290889162
oof,Q2,0,id01,9,-0.15625,0.6066838207254662,0.6016673839926487
oof,Q2,0,id02,10,-0.08552631578947367,0.5954904665391674,0.5930252511669988
oof,Q2,0,id03,7,0.11538461538461542,0.6270485889786218,0.6313223543878391
oof,Q2,0,id04,12,0.19444444444444442,0.6040875015954478,0.6126999830243163
oof,Q2,0,id05,9,0.03214285714285714,0.5808995502222681,0.5808995502222681
oof,Q2,0,id06,10,0.25,0.5941073446608925,0.600735490191908
oof,Q2,0,id07,10,0.13782051282051283,0.5870312171571153,0.5907516112775615
oof,Q2,0,id08,12,0.125,0.6164218865099177,0.6219148757068013
oof,Q2,0,id09,9,0.3125,0.5846093139392247,0.5934282142631638
oof,Q2,0,id10,7,-0.08653846153846156,0.5948272506539733,0.5912940268258685
oof,Q2,1,id01,8,0.02777777777777779,0.38338239859656353,0.38338239859656353
oof,Q2,1,id02,10,0.0,0.5656592384680237,0.5656592384680237
oof,Q2,1,id03,7,0.0,0.620208768842799,0.620208768842799
oof,Q2,1,id04,11,-0.25,0.38555540540854083,0.3743155092846411
oof,Q2,1,id05,9,-0.02777777777777779,0.6934716515162198,0.6934716515162198
oof,Q2,1,id06,10,0.0,0.2697438133153648,0.2697438133153648
oof,Q2,1,id07,10,0.025000000000000022,0.5833451819834672,0.5833451819834672
oof,Q2,1,id08,11,0.08333333333333337,0.8081727032007443,0.8105617409979473
oof,Q2,1,id09,8,0.0,0.26445362552753127,0.26445362552753127
oof,Q2,1,id10,7,0.0,0.7180535059633089,0.7180535059633089
oof,Q2,2,id01,8,0.21323529411764708,0.4693111801571783,0.47704482980111496
oof,Q2,2,id02,9,0.025000000000000022,0.5766394097144837,0.5766394097144837
oof,Q2,2,id03,6,-0.017857142857142905,0.6137936132742801,0.6137936132742801
oof,Q2,2,id04,12,0.02717391304347827,0.38648076061514613,0.38648076061514613
oof,Q2,2,id05,9,-0.16666666666666663,0.6163353114403171,0.6110017755468825
oof,Q2,2,id06,9,0.075,0.24045403142187105,0.24246264847727636
oof,Q2,2,id07,10,0.025000000000000022,0.5763022234538694,0.5763022234538694
oof,Q2,2,id08,11,0.08695652173913049,0.8021264406639268,0.8049058355591605
oof,Q2,2,id09,8,0.19852941176470587,0.3254564709880392,0.33235067407192903
oof,Q2,2,id10,6,-0.1964285714285714,0.5521026009327873,0.5425675311997044
oof,Q2,3,id01,8,0.4,0.6842603385227749,0.6926321356796674
oof,Q2,3,id02,10,0.21982758620689657,0.7102326956926464,0.7148835018479573
oof,Q2,3,id03,7,0.17500000000000004,0.6759672325995505,0.681825143669211
oof,Q2,3,id04,11,0.12857142857142856,0.48606283949527407,0.4928315833300525
oof,Q2,3,id05,9,-0.21759259259259256,0.5928378157746226,0.5858193722922519
oof,Q2,3,id06,10,0.5991379310344828,0.49200116540428523,0.5005068869377067
oof,Q2,3,id07,10,-0.09999999999999998,0.6039608798528737,0.6010581446075202
oof,Q2,3,id08,11,-0.2647058823529411,0.7028610498118852,0.6900349626230406
oof,Q2,3,id09,8,0.56,0.5831127625331796,0.5930671828216223
oof,Q2,3,id10,7,-0.09999999999999998,0.5946276725623921,0.5904891682381402
oof,Q2,4,id01,8,-0.0757575757575758,0.6615429328703664,0.6589784193166162
oof,Q2,4,id02,9,-0.04166666666666663,0.6511335573360411,0.6511335573360411
oof,Q2,4,id03,6,0.09722222222222221,0.7746703879845827,0.7776851185473759
oof,Q2,4,id04,11,0.21195652173913043,0.4963814461932225,0.5075035110508505
oof,Q2,4,id05,8,-0.4444444444444444,0.314124861837487,0.3057488912832098
oof,Q2,4,id06,9,0.06730769230769229,0.5597112700591856,0.5618040855956886
oof,Q2,4,id07,9,-0.375,0.4620817531334381,0.45308043954653876
oof,Q2,4,id08,11,0.09722222222222221,0.6560252516511486,0.660506819895637
oof,Q2,4,id09,8,-0.3333333333333333,0.45530812093705936,0.44483241688798325
oof,Q2,4,id10,6,-0.09259259259259256,0.5222040897381467,0.5177153362700936
test,Q2,-1,id01,27,0.1785714285714286,0.6331587500792263,0.6379967177546497
test,Q2,-1,id02,32,0.1875,0.6797004806292626,0.6850534121441982
test,Q2,-1,id03,21,0.1477272727272727,0.7878840699653689,0.790846678479658
test,Q2,-1,id04,27,0.022058823529411742,0.5470672443085709,0.5470672443085709
test,Q2,-1,id05,21,-0.20192307692307687,0.46170776010170994,0.45495235626856045
