source,target,full_logloss,last_logloss,mean_pred,mean_y,fold,fold_logloss,fold_mean_pred,fold_mean_y
q2_big_probe,Q3,,,,,4.0,0.6245181829038703,0.6335474642657396,0.6470588235294118
q2_big_probe,S1,0.48884433377252895,0.4309736572099719,0.7169482865925979,0.6822222222222222,,,,
q2_big_probe,S1,,,,,0.0,0.470478165353136,0.7304262979014668,0.6947368421052632
q2_big_probe,S1,,,,,1.0,0.486229139083562,0.7076869913623949,0.7252747252747253
q2_big_probe,S1,,,,,2.0,0.5290528261383755,0.6953353421812064,0.6363636363636364
q2_big_probe,S1,,,,,3.0,0.5258050908732016,0.736813103450629,0.6153846153846154
q2_big_probe,S1,,,,,4.0,0.4309736572099719,0.7129083756011576,0.7411764705882353
q2_big_probe,S2,0.5593348857793768,0.5747312643698509,0.6346339483962119,0.6511111111111111,,,,
q2_big_probe,S2,,,,,0.0,0.5848550186805285,0.6537988156570195,0.6631578947368421
q2_big_probe,S2,,,,,1.0,0.5286905322857371,0.6367661609394643,0.6813186813186813
q2_big_probe,S2,,,,,2.0,0.528797479802899,0.6326349671241491,0.6590909090909091
q2_big_probe,S2,,,,,3.0,0.5784867878458775,0.6107371146344739,0.6813186813186813
q2_big_probe,S2,,,,,4.0,0.5747312643698509,0.6385848718438235,0.5647058823529412
q2_big_probe,S3,0.5309142344640452,0.5810214417638674,0.6486581559774465,0.6622222222222223,,,,
q2_big_probe,S3,,,,,0.0,0.5035850654162337,0.6418408595352832,0.7157894736842105
q2_big_probe,S3,,,,,1.0,0.5283175228748941,0.6498561637136446,0.6813186813186813
q2_big_probe,S3,,,,,2.0,0.5581555447485985,0.6575540895421164,0.6136363636363636
q2_big_probe,S3,,,,,3.0,0.4888947167566742,0.6431305375542523,0.6593406593406593
q2_big_probe,S3,,,,,4.0,0.5810214417638674,0.651702809869578,0.6352941176470588
q2_big_probe,S4,0.6255614958039555,0.5768788577062515,0.5743320422546228,0.56,,,,
q2_big_probe,S4,,,,,0.0,0.6496393296854448,0.5855954949696313,0.6105263157894737
