source,target,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,test_abs_delta_mean,test_mean_delta,test_up_rate,test_down_rate,public_risk,rank_score,kept_for_target
constrained_target_blend_logit_newton/tradeoff_cap_a0p5,Q2,0.6930387968345394,0.6370558264285305,0.0001589402106169091,-0.001028542871870819,0.0064394345611093785,-0.002857832199699819,0.432,0.568,0.003183528772469202,0.6565743349177714,True
constrained_target_blend_logit_newton/last_guard_0p004,Q2,0.6916422177705048,0.6411609983315899,-0.0012376388534176552,0.003076629031188549,0.005376126318546968,-0.0021225384272074445,0.392,0.608,0.0026315106860668796,0.6572188687639184,False
constrained_target_blend_logit_newton/positive_last_penalty_a0p5,Q2,0.6922461141334341,0.6389103160416373,-0.0006337424904884204,0.0008259467412359278,0.007162122368478233,-0.0032133616410512443,0.384,0.616,0.003544291229920329,0.6605341695395832,True
constrained_target_blend_logit_newton/tradeoff_cap_a0p35,Q2,0.6922461141334341,0.6389103160416373,-0.0006337424904884204,0.0008259467412359278,0.007162122368478233,-0.0032133616410512443,0.384,0.616,0.003544291229920329,0.6605341695395832,False
constrained_target_blend_logit_newton/positive_last_penalty_a0p25,Q2,0.691728728478578,0.6406354070600994,-0.00115112814534446,0.002551037759698005,0.007567930695146651,-0.0032656713070873733,0.408,0.592,0.00373213594352473,0.6634066192560051,True
constrained_target_blend_logit_newton/tradeoff_cap_a0p25,Q2,0.691728728478578,0.6406354070600994,-0.00115112814534446,0.002551037759698005,0.007567930695146651,-0.0032656713070873733,0.408,0.592,0.00373213594352473,0.6634066192560051,False
constrained_target_blend_logit_newton/last_guard_0p006,Q2,0.6912996218244709,0.6428348266070222,-0.0015802347994515742,0.0047504573066208255,0.007680180455067099,-0.003032197753153494,0.392,0.608,0.0037593009800955435,0.6657746415103488,True
constrained_target_blend_logit_newton/tradeoff_cap_a0p15,Q2,0.6912996218244709,0.6428348266070222,-0.0015802347994515742,0.0047504573066208255,0.007680180455067099,-0.003032197753153494,0.392,0.608,0.0037593009800955435,0.6657746415103488,False
constrained_target_blend_logit_newton/positive_last_penalty_a0p75,Q2,0.6924135834163222,0.6386353865228667,-0.00046627320760028734,0.0005510172224653109,0.009011954511799636,-0.0040707113009611825,0.388,0.612,0.0044624506604059545,0.6658606882108924,False
constrained_target_blend_logit_newton/composite,Q2,0.6935117074727225,0.6366437138193223,0.0006318508488000196,-0.0014406554810790784,0.01030309529777501,-0.004572531519519672,0.432,0.568,0.005093646035950721,0.6680998553091952,True
residual_submission_blend_ridge_logit_newton/ridge_knn_blend_composite,Q2,0.6935117074727225,0.6366437138193223,0.0006318508488000196,-0.0014406554810790784,0.01030309529777501,-0.004572531519519672,0.432,0.568,0.005093646035950721,0.6680998553091952,False
residual_single_model_opt_ridge_logit_te_full/ridge_residual_full,Q2,0.6898804919422968,0.635809916022891,-0.002999364681625649,-0.002274453277510302,0.012761232991664588,-0.005997152224775209,0.392,0.608,0.006342270068726586,0.6745015980848338,True
residual_submission_blend_ridge_logit_te_full/ridge_knn_blend_full,Q2,0.6898804919422968,0.635809916022891,-0.002999364681625649,-0.002274453277510302,0.012761232991664588,-0.005997152224775209,0.392,0.608,0.006342270068726586,0.6745015980848338,False
constrained_target_blend_logit_newton/last_guard_0p008,Q2,0.6910829762328704,0.6447964798926195,-0.0017968803910520803,0.006712110592218101,0.009984234591587225,-0.003941857079099541,0.392,0.608,0.004887091274124206,0.6746182392669441,True
residual_submission_blend_ridge_logit_te_full/ridge_knn_blend_composite,Q2,0.693025082645073,0.6339898460190495,0.00014522602115052408,-0.004094523281351847,0.013413453173338979,-0.006223123392169637,0.388,0.612,0.006658366267219503,0.6746978518937238,True
residual_submission_blend_ridge_logit_newton/ridge_knn_blend_last,Q2,0.6940407398314826,0.636451957923523,0.0011608832075601372,-0.0016324113768783066,0.012878869122218762,-0.0057156643993996215,0.432,0.568,0.006367057544938406,0.6759947765738005,True
