target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,tail3_worst,tail3_worst_delta_vs_anchor,fold_std,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,selection_mode,selector_last_guard,selector_full_cap,selector_alpha,selector_tail_guard,candidate,selector_score
Q2,arith:anchor:0.35+ridge_residual_full:0.65,0.6910829762328704,0.6447964798926195,-0.0017968803910520803,0.006712110592218101,0.7949177705031528,-0.0026007095329603214,0.058827316722646565,0.6623755006886732,0.7065561614988809,0.6274818482694065,0.7949177705031528,0.6813537491728787,0.6447964798926195,last_guard,0.008,0.004,0.0,,last_guard_0p008,
Q3,anchor,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6955517920765923,0.0,0.032781320352747036,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,last_guard,0.008,0.004,0.0,,last_guard_0p008,
S1,logit:ridge_residual_composite:0.35+ridge_residual_full:0.65,0.48976697309764744,0.45006742057382615,-0.0025851801162045662,0.0005229545568499749,0.5239603805160189,-0.005092445622356556,0.028946739095960645,0.4553176684840197,0.4656019303174815,0.48967741423420524,0.5239603805160189,0.5190996218053082,0.45006742057382615,last_guard,0.008,0.004,0.0,,last_guard_0p008,
S2,ridge_residual_full,0.5523303237543977,0.5924888746662645,-0.0077900819353105,-0.030326448229168856,0.5924888746662645,-0.030326448229168856,0.026461005106169232,0.5997704406155724,0.5718257411801718,0.5225637811533103,0.527765274225347,0.5479889858675647,0.5924888746662645,last_guard,0.008,0.004,0.0,,last_guard_0p008,
S3,ridge_residual_full,0.5077276302852942,0.6061629831879853,-0.03382374423639389,0.005483958197411765,0.6061629831879853,0.005483958197411765,0.05726520380813056,0.6213735179888792,0.47125714361397214,0.4861809776849146,0.5392001640813648,0.44496778028119754,0.6061629831879853,last_guard,0.008,0.004,0.0,,last_guard_0p008,
S4,ridge_residual_full,0.6226433776469414,0.5839384495097777,-0.008155659957683525,-0.00471593513121249,0.663143049599433,0.002933271525129455,0.03859878919372653,0.5907718293769757,0.6548408438339655,0.5680474978799893,0.6398469516811186,0.663143049599433,0.5839384495097777,last_guard,0.008,0.004,0.0,,last_guard_0p008,
Q1,ridge_residual_full,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.606532805999241,-0.011973065503971814,0.03118485466438757,0.6090954778720524,0.5344377418210166,0.6279702835911902,0.5925123364637841,0.582113197442527,0.606532805999241,positive_last_penalty,0.0,0.004,0.25,,positive_last_penalty_a0p25,-0.002456980836487044
Q2,arith:ridge_residual_full:0.35+ridge_residual_composite:0.20+knn_targetwise_guarded:0.45,0.691728728478578,0.6406354070600994,-0.00115112814534446,0.002551037759698005,0.7952951909150152,-0.0022232891210979266,0.0596280912828627,0.6583535756673586,0.7097640786702806,0.6280192459988881,0.7952951909150152,0.684182445661042,0.6406354070600994,positive_last_penalty,0.0,0.004,0.25,,positive_last_penalty_a0p25,-0.0005133687054199587
Q3,anchor,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6955517920765923,0.0,0.032781320352747036,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,positive_last_penalty,0.0,0.004,0.25,,positive_last_penalty_a0p25,0.0
S1,arith:ridge_residual_composite:0.35+ridge_residual_full:0.65,0.48978028137258534,0.44976586891105347,-0.002571871841266671,0.00022140289407729385,0.5241554196833467,-0.0048974064550287855,0.029167321921593943,0.4550435250057787,0.46539285643656186,0.489774040928052,0.5241554196833467,0.5193801290347609,0.44976586891105347,positive_last_penalty,0.0,0.004,0.25,,positive_last_penalty_a0p25,-0.0025165211177473473
S2,ridge_residual_full,0.5523303237543977,0.5924888746662645,-0.0077900819353105,-0.030326448229168856,0.5924888746662645,-0.030326448229168856,0.026461005106169232,0.5997704406155724,0.5718257411801718,0.5225637811533103,0.527765274225347,0.5479889858675647,0.5924888746662645,positive_last_penalty,0.0,0.004,0.25,,positive_last_penalty_a0p25,-0.0077900819353105
S3,ridge_residual_full,0.5077276302852942,0.6061629831879853,-0.03382374423639389,0.005483958197411765,0.6061629831879853,0.005483958197411765,0.05726520380813056,0.6213735179888792,0.47125714361397214,0.4861809776849146,0.5392001640813648,0.44496778028119754,0.6061629831879853,positive_last_penalty,0.0,0.004,0.25,,positive_last_penalty_a0p25,-0.03245275468704095
S4,ridge_residual_full,0.6226433776469414,0.5839384495097777,-0.008155659957683525,-0.00471593513121249,0.663143049599433,0.002933271525129455,0.03859878919372653,0.5907718293769757,0.6548408438339655,0.5680474978799893,0.6398469516811186,0.663143049599433,0.5839384495097777,positive_last_penalty,0.0,0.004,0.25,,positive_last_penalty_a0p25,-0.008155659957683525
