target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,tail3_worst,tail3_worst_delta_vs_anchor,fold_std,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q1,arith:anchor:0.35+ridge_residual_composite:0.35+knn_targetwise_guarded:0.30,0.5886039186453339,0.6087469390208684,-0.0018209652262938247,-0.009758932482344385,0.6087469390208684,-0.009758932482344385,0.030695923167996964,0.6119020188037282,0.5384234753851799,0.629339198993428,0.592360898187389,0.5778067831114517,0.6087469390208684
Q1,arith:anchor:0.65+ridge_residual_composite:0.35,0.5886039186453339,0.6087469390208685,-0.0018209652262938247,-0.009758932482344274,0.6087469390208685,-0.009758932482344274,0.030695923167996977,0.6119020188037283,0.5384234753851799,0.629339198993428,0.5923608981873889,0.5778067831114517,0.6087469390208685
Q1,arith:ridge_residual_composite:0.35+knn_targetwise_guarded:0.65,0.5886039186453339,0.6087469390208685,-0.0018209652262938247,-0.009758932482344274,0.6087469390208685,-0.009758932482344274,0.030695923167996977,0.6119020188037283,0.5384234753851799,0.629339198993428,0.5923608981873889,0.5778067831114517,0.6087469390208685
Q1,logit:ridge_residual_full:0.20+ridge_residual_composite:0.20+knn_targetwise_guarded:0.60,0.5886300383964133,0.6099861091471065,-0.0017948454752144682,-0.008519762356106297,0.6099861091471065,-0.008519762356106297,0.03072660892964464,0.6133687494209258,0.5387510112798578,0.6289091117919987,0.5925150449288634,0.5767175692580602,0.6099861091471065
Q1,arith:ridge_residual_full:0.20+ridge_residual_composite:0.20+knn_targetwise_guarded:0.60,0.5886427969132821,0.6101084004803033,-0.0017820869583455856,-0.008397471022909442,0.6101084004803033,-0.008397471022909442,0.030903313886919446,0.6135079455630466,0.5384709307966256,0.6291602066575734,0.592540836946045,0.5766827877734138,0.6101084004803033
Q1,arith:anchor:0.50+ridge_residual_full:0.50,0.5886576672570443,0.6116178931996498,-0.0017672166145834556,-0.006887978303563025,0.6116178931996498,-0.006887978303563025,0.03119243480779981,0.6152741707278894,0.5382843287165746,0.6288583618997869,0.5927768511815796,0.5756147722941258,0.6116178931996498
Q1,arith:ridge_residual_full:0.50+knn_targetwise_guarded:0.50,0.5886576672570443,0.6116178931996498,-0.0017672166145834556,-0.006887978303563025,0.6116178931996498,-0.006887978303563025,0.03119243480779981,0.6152741707278894,0.5382843287165746,0.6288583618997869,0.5927768511815796,0.5756147722941258,0.6116178931996498
Q1,logit:anchor:0.50+ridge_residual_full:0.50,0.5886652778103566,0.6116192211985675,-0.001759606061271124,-0.006886650304645303,0.6116192211985675,-0.006886650304645303,0.031130752559905172,0.6152746805533574,0.5383987169950778,0.6287608886578481,0.5927913361551286,0.5756152159201575,0.6116192211985675
Q1,logit:ridge_residual_full:0.50+knn_targetwise_guarded:0.50,0.5886652778103566,0.6116192211985675,-0.001759606061271124,-0.006886650304645303,0.6116192211985675,-0.006886650304645303,0.031130752559905172,0.6152746805533574,0.5383987169950778,0.6287608886578481,0.5927913361551286,0.5756152159201575,0.6116192211985675
Q1,arith:anchor:0.20+ridge_residual_composite:0.80,0.5888424728526995,0.6006206945955561,-0.0015824110189281981,-0.017885176907656675,0.6006206945955561,-0.017885176907656675,0.03104794057069461,0.6018968572122098,0.5344860069605694,0.6302782738332809,0.5920480938830415,0.5900508560582663,0.6006206945955561
Q1,arith:ridge_residual_composite:0.80+knn_targetwise_guarded:0.20,0.5888424728526995,0.6006206945955563,-0.0015824110189281981,-0.017885176907656453,0.6006206945955563,-0.017885176907656453,0.03104794057069463,0.60189685721221,0.5344860069605694,0.6302782738332809,0.5920480938830416,0.5900508560582663,0.6006206945955563
Q1,arith:ridge_residual_full:0.80+ridge_residual_last:0.20,0.5888505284569459,0.6027912421081567,-0.0015743554146818717,-0.01571462939505608,0.6027912421081567,-0.01571462939505608,0.031055838052749193,0.6044718816673452,0.5346690396381876,0.6298411946905921,0.5925194404772004,0.5878534503512857,0.6027912421081567
Q1,arith:ridge_residual_composite:0.65+ridge_residual_full:0.35,0.5888541860089325,0.600711793373984,-0.0015706978626952584,-0.01779407812922884,0.600711793373984,-0.01779407812922884,0.03136695455845602,0.6019205156770662,0.533499123122567,0.630092873007587,0.5922091078203681,0.591083644381366,0.600711793373984
Q1,logit:ridge_residual_composite:0.65+ridge_residual_full:0.35,0.5888547909901124,0.6006163269865908,-0.0015700928815153281,-0.017889544516621947,0.6006163269865908,-0.017889544516621947,0.031312705589351335,0.6018113466367137,0.5336061566018058,0.6300575549328175,0.5921746378364666,0.5911327213848723,0.6006163269865908
Q1,logit:anchor:0.20+ridge_residual_composite:0.80,0.5888558879479348,0.6004250659961831,-0.001568995923692973,-0.01808080550702973,0.6004250659961831,-0.01808080550702973,0.03088167329191324,0.601669921067337,0.5347988714705882,0.6301211033945321,0.5920096902978088,0.5901676156272486,0.6004250659961831
Q1,logit:ridge_residual_composite:0.80+knn_targetwise_guarded:0.20,0.5888558879479348,0.6004250659961831,-0.001568995923692973,-0.01808080550702973,0.6004250659961831,-0.01808080550702973,0.03088167329191324,0.601669921067337,0.5347988714705882,0.6301211033945321,0.5920096902978088,0.5901676156272486,0.6004250659961831
