split,target,fold,subject_id,rows,emission_power,transition_blend,p00,p11,before_mean,after_mean,source
test,Q1,-1,id01,27,0.5,0.3,0.6096491228070176,0.6227272727272727,0.4336724013809039,0.4457247611435389,seq_Q1_0p5_0p3
test,Q1,-1,id02,32,0.5,0.3,0.6096491228070176,0.6227272727272727,0.5105957198340306,0.5282010000600461,seq_Q1_0p5_0p3
test,Q1,-1,id03,21,0.5,0.3,0.6096491228070176,0.6227272727272727,0.6787227179611905,0.6316247166359755,seq_Q1_0p5_0p3
test,Q1,-1,id04,27,0.5,0.3,0.6096491228070176,0.6227272727272727,0.5842484958604136,0.5377675678258209,seq_Q1_0p5_0p3
test,Q1,-1,id05,21,0.5,0.3,0.6096491228070176,0.6227272727272727,0.5974882935120752,0.5281536883919722,seq_Q1_0p5_0p3
test,Q1,-1,id06,24,0.5,0.3,0.6096491228070176,0.6227272727272727,0.2615632648414763,0.3347844439204368,seq_Q1_0p5_0p3
test,Q1,-1,id07,30,0.5,0.3,0.6096491228070176,0.6227272727272727,0.5296516335797071,0.5015242791586842,seq_Q1_0p5_0p3
test,Q1,-1,id08,19,0.5,0.3,0.6096491228070176,0.6227272727272727,0.35189420653875336,0.39095240846854384,seq_Q1_0p5_0p3
test,Q1,-1,id09,27,0.5,0.3,0.6096491228070176,0.6227272727272727,0.5103423937300035,0.4940590095326304,seq_Q1_0p5_0p3
test,Q1,-1,id10,22,0.5,0.3,0.6096491228070176,0.6227272727272727,0.4602822400374256,0.46048851471583885,seq_Q1_0p5_0p3
oof,Q1,0,id01,9,0.5,0.45,0.6136363636363636,0.6271186440677966,0.38812273618277726,0.42606782655184766,seq_Q1_0p5_0p45
oof,Q1,0,id02,10,0.5,0.45,0.6136363636363636,0.6271186440677966,0.4647918364292587,0.48215608866986226,seq_Q1_0p5_0p45
oof,Q1,0,id03,7,0.5,0.45,0.6136363636363636,0.6271186440677966,0.8131467496638531,0.7378481012770141,seq_Q1_0p5_0p45
oof,Q1,0,id04,12,0.5,0.45,0.6136363636363636,0.6271186440677966,0.6110989039050624,0.586872418565192,seq_Q1_0p5_0p45
oof,Q1,0,id05,9,0.5,0.45,0.6136363636363636,0.6271186440677966,0.7594300556964532,0.6867528641051827,seq_Q1_0p5_0p45
oof,Q1,0,id06,10,0.5,0.45,0.6136363636363636,0.6271186440677966,0.30856119325719356,0.37240725293982824,seq_Q1_0p5_0p45
oof,Q1,0,id07,10,0.5,0.45,0.6136363636363636,0.6271186440677966,0.4231188600317646,0.4544244571456204,seq_Q1_0p5_0p45
oof,Q1,0,id08,12,0.5,0.45,0.6136363636363636,0.6271186440677966,0.3669871002688796,0.412253912539265,seq_Q1_0p5_0p45
oof,Q1,0,id09,9,0.5,0.45,0.6136363636363636,0.6271186440677966,0.38896768738382836,0.42494242381084474,seq_Q1_0p5_0p45
oof,Q1,0,id10,7,0.5,0.45,0.6136363636363636,0.6271186440677966,0.5007194466009841,0.5015693867864904,seq_Q1_0p5_0p45
oof,Q1,1,id01,8,0.5,0.45,0.6195652173913043,0.630057803468208,0.5384931070855642,0.43729373212432276,seq_Q1_0p5_0p45
oof,Q1,1,id02,10,0.5,0.45,0.6195652173913043,0.630057803468208,0.5967320905580747,0.6026276204366636,seq_Q1_0p5_0p45
oof,Q1,1,id03,7,0.5,0.45,0.6195652173913043,0.630057803468208,0.6039361347811463,0.6256364752335571,seq_Q1_0p5_0p45
oof,Q1,1,id04,11,0.5,0.45,0.6195652173913043,0.630057803468208,0.5664943570866403,0.5727296158334132,seq_Q1_0p5_0p45
oof,Q1,1,id05,9,0.5,0.45,0.6195652173913043,0.630057803468208,0.602721395882925,0.5141293725335271,seq_Q1_0p5_0p45
oof,Q1,1,id06,10,0.5,0.45,0.6195652173913043,0.630057803468208,0.3421052596537636,0.3687027239338814,seq_Q1_0p5_0p45
oof,Q1,1,id07,10,0.5,0.45,0.6195652173913043,0.630057803468208,0.5429138311229478,0.48589898889935,seq_Q1_0p5_0p45
oof,Q1,1,id08,11,0.5,0.45,0.6195652173913043,0.630057803468208,0.43568284548160396,0.49694210580267767,seq_Q1_0p5_0p45
oof,Q1,1,id09,8,0.5,0.45,0.6195652173913043,0.630057803468208,0.4111619722418398,0.4996265889897147,seq_Q1_0p5_0p45
oof,Q1,1,id10,7,0.5,0.45,0.6195652173913043,0.630057803468208,0.3765408662626736,0.3754215072275162,seq_Q1_0p5_0p45
oof,Q1,2,id01,8,0.5,0.45,0.5934065934065934,0.6179775280898876,0.27312887322634244,0.31636370090360433,seq_Q1_0p5_0p45
oof,Q1,2,id02,9,0.5,0.45,0.5934065934065934,0.6179775280898876,0.4846848028679077,0.4461874124499846,seq_Q1_0p5_0p45
oof,Q1,2,id03,6,0.5,0.45,0.5934065934065934,0.6179775280898876,0.8253749605561058,0.7693424062681946,seq_Q1_0p5_0p45
oof,Q1,2,id04,12,0.5,0.45,0.5934065934065934,0.6179775280898876,0.5300147974512049,0.47708825951238204,seq_Q1_0p5_0p45
oof,Q1,2,id05,9,0.5,0.45,0.5934065934065934,0.6179775280898876,0.518591233254995,0.5798087260680423,seq_Q1_0p5_0p45
oof,Q1,2,id06,9,0.5,0.45,0.5934065934065934,0.6179775280898876,0.26146065084102366,0.40746419924749117,seq_Q1_0p5_0p45
oof,Q1,2,id07,10,0.5,0.45,0.5934065934065934,0.6179775280898876,0.6049432834417064,0.6036649005940438,seq_Q1_0p5_0p45
oof,Q1,2,id08,11,0.5,0.45,0.5934065934065934,0.6179775280898876,0.27331028280008346,0.4116148777509467,seq_Q1_0p5_0p45
oof,Q1,2,id09,8,0.5,0.45,0.5934065934065934,0.6179775280898876,0.5135307837168388,0.5821916106610214,seq_Q1_0p5_0p45
oof,Q1,2,id10,6,0.5,0.45,0.5934065934065934,0.6179775280898876,0.5143083995982666,0.43027432680567707,seq_Q1_0p5_0p45
oof,Q1,3,id01,8,0.5,0.45,0.5955056179775281,0.6312849162011173,0.5960919496717141,0.48981038983704916,seq_Q1_0p5_0p45
oof,Q1,3,id02,10,0.5,0.45,0.5955056179775281,0.6312849162011173,0.567250695192935,0.6167753267806763,seq_Q1_0p5_0p45
