source,target,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
ridge30,Q3,0.6734596629532166,0.7111195466436117,0.010779116825015866,0.07642753840285821
ridge3,Q3,0.6718273636514207,0.7147971442900485,0.009146817523219997,0.08010513604929503
ridge1,Q3,0.6729641225854218,0.7197889696842333,0.01028357645722111,0.08509696144347989
mean_sm4,Q3,0.6802483774392549,0.7199588221980362,0.017567831311054216,0.08526681395728275
ridge0.5,Q3,0.6734208159179014,0.7216489201103092,0.010740269789700663,0.08695691186955579
anchor_temp_1p08,S1,0.49344142107310934,0.44903952636731703,0.0010892678592573368,-0.0005049396496591418
anchor,S1,0.492352153213852,0.4495444660169762,0.0,0.0
model_lgbm_anchor,S1,0.492352153213852,0.4495444660169762,0.0,0.0
anchor_temp_1p15,S1,0.4956257808421819,0.4498668033206665,0.0032736276283298893,0.000322337303690301
anchor_temp_0p92,S1,0.4929341762226353,0.4517908332682304,0.0005820230087832945,0.002246367251254211
anchor_temp_0p85,S1,0.4949677205368928,0.4553628924405003,0.0026155673230408016,0.005818426423524148
last30_sm4,S1,0.5899731578431668,0.5235640936354212,0.09762100462931483,0.07401962761844505
seq_S1_1_0p15,S1,0.5655908602462221,0.5270592750782307,0.07323870703237007,0.07751480906125452
seq_S1_1p25_0p15,S1,0.5759121903122065,0.5279616566820141,0.08356003709835452,0.07841719066503794
seq_S1_1_0p3,S1,0.5740505143845628,0.5288300581977802,0.08169836117071078,0.079285592180804
last20_sm4,S1,0.5941833973556387,0.5290615503901492,0.10183124414178674,0.07951708437317306
ridge30,S1,0.5762985263678769,0.5303556531635618,0.08394637315402492,0.08081118714658564
mean_sm4,S1,0.5766134000089346,0.5316691690676724,0.08426124679508257,0.08212470305069619
seq_S1_1p25_0p3,S1,0.5880806289047513,0.5324973113413157,0.09572847569089932,0.08295284532433955
ridge10,S1,0.5767072154735342,0.5325965767377677,0.0843550622596822,0.08305211072079155
mean_sm8,S1,0.575699323041851,0.5327424461413848,0.083347169827999,0.0831979801244086
seq_S1_1_0p45,S1,0.5854834786623728,0.5328951252039152,0.09313132544852082,0.08335065918693907
seq_S1_0p8_0p3,S1,0.5721842813674249,0.5354776412608201,0.07983212815357293,0.08593317524384392
mean_sm16,S1,0.5771172698811674,0.53579653504369,0.0847651166673154,0.08625206902671378
seq_S1_0p8_0p15,S1,0.5674383916488548,0.5366198686852113,0.07508623843500278,0.0870754026682351
seq_S1_0p8_0p45,S1,0.5800662664063301,0.5367532078166602,0.08771411319247807,0.08720874179968408
ridge3,S1,0.5778937330872044,0.5384291384265237,0.08554157987335237,0.08888467240954756
seq_S1_1p5_0p15,S1,0.5963763073199565,0.5389776228236736,0.1040241541061045,0.08943315680669739
seq_S1_1p25_0p45,S1,0.6029467054178044,0.5391441059598666,0.11059455220395237,0.08959963994289044
seq_S1_1_0p6,S1,0.6000747869516949,0.5393606034496429,0.10772263373784291,0.0898161374326667
seq_S1_0p8_0p6,S1,0.5913024937001052,0.5405741439711397,0.09895034048625323,0.0910296779541635
mean_sm32,S1,0.582886418302673,0.5422266041803967,0.09053426508882095,0.09268213816342052
ridge1,S1,0.5788238542390287,0.5430383416880846,0.0864717010251767,0.09349387567110845
ridge0.5,S1,0.5791649459318144,0.5447412556134518,0.08681279271796244,0.0951967895964756
seq_S1_1p5_0p3,S1,0.6113799197501323,0.5455142787424225,0.11902776653628028,0.09596981272544636
seq_S1_0p65_0p45,S1,0.5828524555490473,0.5468502980771813,0.09050030233519529,0.09730583206020516
seq_S1_1p25_0p6,S1,0.620685031623503,0.5480042269802954,0.12833287840965096,0.09845976096331921
seq_S1_0p65_0p6,S1,0.590980411464513,0.5481542446635459,0.09862825825066096,0.09860977864656972
seq_S1_0p65_0p3,S1,0.5781582267160676,0.5481631475960907,0.08580607350221564,0.09861868157911458
seq_S1_0p8_0p8,S1,0.6121151402361537,0.5500057499802514,0.11976298702230165,0.10046128396327525
last2_sm4,S1,0.6134397110558818,0.5501355324268732,0.12108755784202979,0.10059106640989701
last3_sm4,S1,0.6130439526451575,0.5506784802931695,0.12069179943130554,0.10113401427619328
seq_S1_0p65_0p15,S1,0.5766351087803415,0.5519317450244206,0.08428295556648951,0.10238727900744438
mean_sm64,S1,0.5929611617523863,0.5519426980126272,0.10060900853853433,0.10239823199565101
seq_S1_1_0p8,S1,0.625010277154134,0.5520634649040258,0.13265812394028204,0.10251899888704963
last10_sm4,S1,0.60596762031996,0.5533265232026089,0.11361546710610798,0.10378205718563271
seq_S1_1p5_0p45,S1,0.6288013963331637,0.5539917451624014,0.13644924311931167,0.10444727914542518
seq_S1_0p65_0p8,S1,0.6078389185984886,0.5543903433208546,0.11548676538463659,0.1048458773038784
last2_sm2,S1,0.6283611089755975,0.556311465414172,0.1360089557617455,0.1067669993971958
seq_S1_0p5_0p6,S1,0.5978524514461557,0.5635057635126623,0.10550029823230372,0.11396129749568618
